,線形モデル,対数モデル,反比例モデル
cg,0.7272727272727273,0.2727272727272727,0.0
ep,1.0,0.0,0.0
lu,0.6904761904761905,0.23809523809523808,0.07142857142857142
全体,0.7397260273972602,0.2191780821917808,0.0410958904109589
