"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00398","758","1","1",".TAU_application"
"100.0","0.0924","758","1","109.031","FT"
"54.2","0.0413","410","1","10.0312","SETUP"
"53.9","408","408","1","0","MPI_Init()"
"44.7","338","338","1","0","MPI_Finalize()"
"1.0","0.0473","7","22","110","FFT"
"0.6","4","4","44","0","MPI_Alltoall()"
"0.6","0.0228","4","22","66","TRANSPOSE_X_Y"
"0.5","0.0134","4","22","22","TRANSPOSE_X_Y_GLOBAL"
"0.4","0.279","2","66","1122","CFFTS1"
"0.3","1","2","1056","5280","CFFTZ"
"0.2","1","1","5280","0","FFTZ2"
"0.2","1","1","2","0","MPI_Comm_split()"
"0.1","0.891","0.891","5","0","MPI_Bcast()"
"0.1","0.0273","0.691","22","66","TRANSPOSE_X_Z"
"0.1","0.0106","0.586","22","22","TRANSPOSE_X_Z_GLOBAL"
"0.0","0.283","0.283","1","0","MPI_Barrier()"
"0.0","0.0554","0.276","20","20","CHECKSUM"
"0.0","0.221","0.221","20","0","MPI_Reduce()"
"0.0","0.096","0.096","22","0","TRANSPOSE_X_Y_FINISH"
"0.0","0.0614","0.0614","22","0","TRANSPOSE_X_Z_LOCAL"
"0.0","0.0519","0.0519","2","0","COMPUTE_INDEXMAP"
"0.0","0.0146","0.0492","2","68","COMPUTE_INITIAL_CONDITIONS"
"0.0","0.0309","0.0309","20","0","EVOLVE"
"0.0","0.0303","0.0307","2","2","FFT_INIT"
"0.0","0.0284","0.0284","22","0","TRANSPOSE_X_Y_LOCAL"
"0.0","0.0233","0.0239","1","2","GET_ACTIVE_NPROCS"
"0.0","0.00977","0.0187","4","53.875","IPOW46"
"0.0","0.0164","0.0164","22","0","TRANSPOSE_X_Z_FINISH"
"0.0","0.0133","0.0133","85.875","0","RANDLC"
"0.0","0.0124","0.0124","1","0","ALLOC_SPACE"
"0.0","0.0115","0.0115","68","0","ILOG2"
"0.0","0.0115","0.0115","32","0","VRANLC"
"0.0","0.00686","0.00686","2","0","TIMER_START"
"0.0","0.00616","0.00616","0.015625","0","CHECK_TIMER_FLAG"
"0.0","0.00541","0.00541","32","0","TIMER_CLEAR"
"0.0","0.00187","0.00187","0.015625","0","PRINT_RESULTS"
"0.0","0.000781","0.000781","2","0","TIMER_STOP"
"0.0","0.000422","0.000422","1","0","MPI_Comm_size()"
"0.0","0.000234","0.000234","1","0","VERIFY"
"0.0","0.000172","0.000172","1","0","MPI_Comm_rank()"
"0.0","0.000141","0.000141","1.01562","0","TIMER_READ"
"0.0","0","0","0.015625","0","SET_CLASS"
