"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00425","1:19.126","1","1",".TAU_application"
"100.0","0.171","1:19.126","1","109.5","FT"
"85.4","0.105","1:07.597","22","88","FFT"
"50.7","2,591","40,107","270336","2.43302E+06","CFFTZ"
"47.4","37,515","37,515","2.43302E+06","0","FFTZ2"
"42.3","6,892","33,474","44","180268","CFFTS1"
"22.8","4,527","18,052","22","90134","CFFTS2"
"18.4","0.0583","14,548","20","60","TRANSPOSE_X_YZ"
"11.0","8,713","8,713","22","0","TRANSPOSE2_LOCAL"
"7.1","5,599","5,599","1","0","MPI_Finalize()"
"5.7","0.0602","4,541","22","22","TRANSPOSE2_GLOBAL"
"5.7","4,541","4,541","22","0","MPI_Alltoall()"
"5.0","3,918","3,918","20","0","EVOLVE"
"3.6","2,815","2,815","22","0","TRANSPOSE2_FINISH"
"1.9","0.021","1,522","2","6","TRANSPOSE_XY_Z"
"1.7","1,328","1,328","2","0","COMPUTE_INDEXMAP"
"0.4","0.104","355","1","10.5","SETUP"
"0.4","353","353","1","0","MPI_Init()"
"0.4","0.104","304","2","516","COMPUTE_INITIAL_CONDITIONS"
"0.4","304","304","256","0","VRANLC"
"0.0","0.441","13","20","20","CHECKSUM"
"0.0","12","12","20","0","MPI_Reduce()"
"0.0","8","8","1","0","MPI_Barrier()"
"0.0","1","1","1","0","ALLOC_SPACE"
"0.0","0.596","0.596","5","0","MPI_Bcast()"
"0.0","0.191","0.191","2","0","MPI_Comm_split()"
"0.0","0.112","0.112","0.25","0","CHECK_TIMER_FLAG"
"0.0","0.0815","0.0825","2","2","FFT_INIT"
"0.0","0.0595","0.0595","338","0","RANDLC"
"0.0","0.037","0.037","0.25","0","PRINT_RESULTS"
"0.0","0.0227","0.024","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0107","0.021","4","82","IPOW46"
"0.0","0.0158","0.0158","68","0","ILOG2"
"0.0","0.00625","0.00625","2","0","TIMER_START"
"0.0","0.00575","0.00575","1","0","VERIFY"
"0.0","0.0045","0.0045","32","0","TIMER_CLEAR"
"0.0","0.002","0.002","2","0","TIMER_STOP"
"0.0","0.00075","0.00075","1","0","MPI_Comm_size()"
"0.0","0.0005","0.0005","1","0","MPI_Comm_rank()"
"0.0","0.00025","0.00025","1.25","0","TIMER_READ"
"0.0","0","0","0.25","0","SET_CLASS"
