"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00441","929","1","1",".TAU_application"
"100.0","0.0951","929","1","94.0625","FT"
"61.8","574","574","1","0","MPI_Finalize()"
"36.2","0.054","336","1","10.0625","SETUP"
"36.1","335","335","1","0","MPI_Init()"
"1.7","0.0319","15","17","68","FFT"
"0.9","0.0117","8","17","17","TRANSPOSE2_GLOBAL"
"0.9","8","8","17","0","MPI_Alltoall()"
"0.6","0.0103","5","15","45","TRANSPOSE_X_YZ"
"0.6","0.395","5","408","2448","CFFTZ"
"0.5","4","4","2448","0","FFTZ2"
"0.5","0.907","4","34","306","CFFTS1"
"0.3","0.0109","3","2","6","TRANSPOSE_XY_Z"
"0.2","0.395","2","17","153","CFFTS2"
"0.1","0.869","0.869","5","0","MPI_Bcast()"
"0.1","0.715","0.715","2","0","COMPUTE_INDEXMAP"
"0.1","0.668","0.668","17","0","TRANSPOSE2_LOCAL"
"0.1","0.657","0.657","2","0","MPI_Comm_split()"
"0.1","0.0706","0.587","15","15","CHECKSUM"
"0.1","0.516","0.516","15","0","MPI_Reduce()"
"0.0","0.427","0.427","15","0","EVOLVE"
"0.0","0.249","0.249","17","0","TRANSPOSE2_FINISH"
"0.0","0.202","0.202","1","0","MPI_Barrier()"
"0.0","0.00503","0.152","2","12","COMPUTE_INITIAL_CONDITIONS"
"0.0","0.123","0.123","4","0","VRANLC"
"0.0","0.0363","0.0366","2","2","FFT_INIT"
"0.0","0.0257","0.0257","1","0","ALLOC_SPACE"
"0.0","0.0125","0.0228","4","66.25","IPOW46"
"0.0","0.0217","0.0223","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0126","0.0126","0.03125","0","CHECK_TIMER_FLAG"
"0.0","0.0105","0.0105","70.25","0","RANDLC"
"0.0","0.00784","0.00784","53","0","ILOG2"
"0.0","0.00753","0.00753","0.03125","0","PRINT_RESULTS"
"0.0","0.00713","0.00713","2","0","TIMER_START"
"0.0","0.00503","0.00503","32","0","TIMER_CLEAR"
"0.0","0.00131","0.00131","2","0","TIMER_STOP"
"0.0","0.000406","0.000406","1","0","MPI_Comm_size()"
"0.0","0.000219","0.000219","1","0","MPI_Comm_rank()"
"0.0","0.000219","0.000219","1","0","VERIFY"
"0.0","9.38E-05","9.38E-05","1.03125","0","TIMER_READ"
"0.0","3.13E-05","3.13E-05","0.03125","0","SET_CLASS"
