"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.0065","7,876","1","1",".TAU_application"
"100.0","0.0895","7,876","1","33.5","int_main(int_char_**)"
"94.5","7,439","7,439","1","0","MPI_Finalize()"
"4.6","363","363","1","0","MPI_Init()"
"0.8","28","65","1","262144","void_create_seq(double_double)"
"0.5","37","37","262164","0","double_randlc(double_*_double_*)"
"0.1","4","6","11","33","void_rank(int)"
"0.0","1","1","11","0","MPI_Allreduce()"
"0.0","1","1","11","0","MPI_Alltoallv()"
"0.0","0.285","0.285","1","0","MPI_Comm_dup()"
"0.0","0.265","0.265","1","0","MPI_Bcast()"
"0.0","0.178","0.187","1","2.25","void_full_verify(void)"
"0.0","0.0915","0.0915","11","0","MPI_Alltoall()"
"0.0","0.0612","0.0612","0.25","0","int_check_timer_flag(void)"
"0.0","0.0238","0.0238","0.25","0","void_c_print_results(char_*_char_int_int_int_int_int_int_double_double_char_*_int_char_*_char_*_char_*_char_*_char_*_char_*_char_*_char_*)"
"0.0","0.023","0.023","1","0","void_alloc_space(void)"
"0.0","0.0145","0.0145","2","0","MPI_Reduce()"
"0.0","0.00375","0.00675","1","19.5","double_find_my_seed(int_int_long_double_double)"
"0.0","0.006","0.006","0.75","0","MPI_Wait()"
"0.0","0.004","0.004","1","0","MPI_Comm_rank()"
"0.0","0.0035","0.0035","1","0","void_timer_start(int)"
"0.0","0.00225","0.00225","1","0","MPI_Comm_size()"
"0.0","0.00175","0.00175","0.75","0","MPI_Send()"
"0.0","0.0015","0.0015","0.75","0","MPI_Irecv()"
"0.0","0.0015","0.0015","7","0","void_timer_clear(int)"
"0.0","0.00075","0.00075","1","0","void_timer_stop(int)"
"0.0","0.00025","0.00025","1","0","double_timer_read(int)"
