ベンチマーク名,線形モデル,対数モデル,反比例モデル,分岐モデル
bt,"86%(0.0, 0.0)",0%(NoData),"14%(107.0, 107.0)",0%(NoData)
cg,"73%(0.0, 35.5)","9%(26.2, 26.2)",0%(NoData),"18%(24.7, 24.7)"
ep,"100%(0.0, 0.0)",0%(NoData),0%(NoData),0%(NoData)
ft,"63%(0.0, 84.4)",0%(NoData),0%(NoData),"37%(18.0, 20.0)"
is,"96%(0.0, 2.7)",0%(NoData),"4%(100.2, 100.2)",0%(NoData)
lu,"50%(0.0, 0.0)","10%(10.5, 10.5)","10%(100.0, 100.0)","30%(0.0, 16.4)"
mg,"54%(0.0, 36.9)","46%(3.6, 52.3)",0%(NoData),0%(NoData)
