ベンチマーク名,線形モデル,対数モデル,反比例モデル,分岐モデル
bt,"78%(0.0, 0.0)","22%(0.0, 1.6)",0%(NoData),0%(NoData)
cg,"87%(0.0, 33.2)",0%(NoData),0%(NoData),"13%(0.0, 0.0)"
ep,"100%(0.0, 0.0)",0%(NoData),0%(NoData),0%(NoData)
ft,"86%(0.0, 0.0)",0%(NoData),"11%(0.0, 0.0)","3%(0.0, 0.0)"
is,"95%(0.0, 0.0)","5%(0.0, 0.0)",0%(NoData),0%(NoData)
lu,"78%(0.0, 0.0)","15%(16.8, 18.0)","7%(0.0, 0.0)",0%(NoData)
mg,"92%(0.0, 0.0)","8%(5.9, 12.6)",0%(NoData),0%(NoData)
sp,"74%(0.0, 0.0)","24%(0.0, 12.8)","2%(0.0, 0.0)",0%(NoData)
