ベンチマーク名,線形モデル,対数モデル,反比例モデル,分岐モデル
bt,"78%(0.0, 0.0)","22%(0.0, 1.6)",0%(NoData),0%(NoData)
cg,"73%(0.0, 0.0)","27%(31.0, 97.7)",0%(NoData),0%(NoData)
ep,"100%(0.0, 0.0)",0%(NoData),0%(NoData),0%(NoData)
ft,"86%(0.0, 0.0)",0%(NoData),"11%(0.0, 0.0)","3%(0.0, 0.0)"
is,"95%(0.0, 0.0)","5%(0.0, 0.0)",0%(NoData),0%(NoData)
lu,"77%(0.0, 0.0)","5%(0.0, 27.9)","18%(0.0, 39.8)",0%(NoData)
mg,"96%(0.0, 20.4)","4%(6.7, 6.7)",0%(NoData),0%(NoData)
sp,"74%(0.0, 0.0)","24%(0.0, 15.1)","2%(0.0, 0.0)",0%(NoData)
