ベンチマーク名,線形モデル,対数モデル,反比例モデル,分岐モデル
bt,"100%(0.0, 41.6)",0%(NoData),0%(NoData),0%(NoData)
cg,"69%(0.0, 0.0)",0%(NoData),"31%(100.6, 103.6)",0%(NoData)
ep,"100%(0.0, 0.0)",0%(NoData),0%(NoData),0%(NoData)
ft,"57%(0.0, 0.0)",0%(NoData),"43%(100.7, 109.4)",0%(NoData)
is,"96%(0.0, 1.3)",0%(NoData),"4%(101.1, 101.1)",0%(NoData)
lu,"50%(0.0, 0.0)","10%(16.9, 16.9)","40%(100.0, 101.4)",0%(NoData)
mg,"48%(0.0, 0.0)","46%(40.0, 71.8)","6%(112.7, 113.5)",0%(NoData)
