ベンチマーク名,線形モデル,対数モデル,反比例モデル,分岐モデル
bt,"78%(0.0, 0.0)","20%(0.0, 1.7)","2%(0.0, 0.0)",0%(NoData)
cg,"73%(0.0, 0.0)","27%(31.4, 48.9)",0%(NoData),0%(NoData)
ep,"100%(0.0, 0.0)",0%(NoData),0%(NoData),0%(NoData)
ft,"86%(0.0, 0.0)",0%(NoData),"11%(0.0, 0.0)","3%(0.0, 0.0)"
is,"95%(0.0, 0.0)","5%(0.0, 0.0)",0%(NoData),0%(NoData)
lu,"78%(0.0, 0.0)","15%(16.4, 18.4)","7%(0.0, 0.0)",0%(NoData)
mg,"96%(0.0, 17.0)","4%(6.2, 6.2)",0%(NoData),0%(NoData)
sp,"74%(0.0, 0.0)","26%(0.0, 22.8)",0%(NoData),0%(NoData)
