ベンチマーク名,線形モデル,対数モデル,反比例モデル,分岐モデル
bt,"73%(0.0, 35.5)","9%(26.2, 26.2)",0%(NoData),"18%(24.7, 24.7)"
cg,"73%(0.0, 35.5)","9%(26.2, 26.2)",0%(NoData),"18%(24.7, 24.7)"
ep,"73%(0.0, 35.5)","9%(26.2, 26.2)",0%(NoData),"18%(24.7, 24.7)"
ft,"73%(0.0, 35.5)","9%(26.2, 26.2)",0%(NoData),"18%(24.7, 24.7)"
is,"73%(0.0, 35.5)","9%(26.2, 26.2)",0%(NoData),"18%(24.7, 24.7)"
lu,"73%(0.0, 35.5)","9%(26.2, 26.2)",0%(NoData),"18%(24.7, 24.7)"
mg,"73%(0.0, 35.5)","9%(26.2, 26.2)",0%(NoData),"18%(24.7, 24.7)"
sp,"73%(0.0, 35.5)","9%(26.2, 26.2)",0%(NoData),"18%(24.7, 24.7)"
