"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00734","975","1","1",".TAU_application"
"100.0","0.174","975","1","90.0469","MG_MPI"
"57.5","560","560","1","0","MPI_Finalize()"
"41.0","400","400","1","0","MPI_Init()"
"1.0","0.141","9","21","441","MG3P"
"0.9","0.791","8","298","4739.25","COMM3"
"0.5","5","5","1630.5","0","MPI_Wait()"
"0.5","0.647","4","1567.5","1567.5","TAKE3"
"0.4","0.164","3","107","107","RESID"
"0.3","0.107","2","105","105","PSINV"
"0.2","0.147","2","2","562.781","ZRAN3"
"0.2","0.0562","2","84","84","RPRJ3"
"0.2","0.656","2","1567.5","1567.5","GIVE3"
"0.2","1","1","6","0","MPI_Barrier()"
"0.2","1","1","1630.5","0","MPI_Send()"
"0.1","0.0907","1","84","84","INTERP"
"0.1","0.0527","1","84","189","COMM3_EX"
"0.1","1","1","88","0","MPI_Allreduce()"
"0.1","0.722","1","1630.5","1630.5","READY"
"0.1","0.0258","1","63","63","TAKE3_EX"
"0.1","0.686","0.686","7","0","MPI_Bcast()"
"0.1","0.53","0.53","1630.5","0","MPI_Irecv()"
"0.0","0.00789","0.184","4","8","NORM2U3"
"0.0","0.0273","0.0793","63","63","GIVE3_EX"
"0.0","0.0486","0.0486","124.75","0","ZERO3"
"0.0","0.0364","0.0364","194.781","0","BUBBLE"
"0.0","0.0356","0.0356","2","0","TIMER_START"
"0.0","0.0353","0.0353","216.062","0","RANDLC"
"0.0","0.029","0.0295","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0141","0.026","6","70.0625","POWER"
"0.0","0.0233","0.0233","128","0","VRANLC"
"0.0","0.0162","0.0162","1","0","ALLOC_SPACE"
"0.0","0.0105","0.0105","2","0","SETUP"
"0.0","0.00733","0.00733","1","0","MPI_Reduce()"
"0.0","0.00644","0.00644","0.015625","0","CHECK_TIMER_FLAG"
"0.0","0.0028","0.0028","17","0","TIMER_CLEAR"
"0.0","0.00186","0.00186","0.015625","0","PRINT_RESULTS"
"0.0","0.000937","0.000937","2","0","TIMER_STOP"
"0.0","0.000359","0.000359","1","0","MPI_Comm_size()"
"0.0","0.000141","0.000141","1.01562","0","TIMER_READ"
"0.0","0.000109","0.000109","1","0","MPI_Comm_rank()"
