"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00745","991","1","1",".TAU_application"
"100.0","0.189","991","1","100.047","MG_MPI"
"59.3","588","588","1","0","MPI_Finalize()"
"38.9","385","385","1","0","MPI_Init()"
"1.1","0.177","11","26","546","MG3P"
"1.1","0.996","10","368","5850.5","COMM3"
"0.6","6","6","2013","0","MPI_Wait()"
"0.6","0.809","5","1935","1935","TAKE3"
"0.5","0.206","4","132","132","RESID"
"0.3","0.134","3","130","130","PSINV"
"0.3","0.0707","2","104","104","RPRJ3"
"0.2","0.818","2","1935","1935","GIVE3"
"0.2","0.155","2","2","562.781","ZRAN3"
"0.2","1","1","2013","0","MPI_Send()"
"0.2","0.113","1","104","104","INTERP"
"0.2","1","1","88","0","MPI_Allreduce()"
"0.2","0.0648","1","104","234","COMM3_EX"
"0.2","0.897","1","2013","2013","READY"
"0.1","0.0338","1","78","78","TAKE3_EX"
"0.1","1","1","6","0","MPI_Barrier()"
"0.1","0.853","0.853","7","0","MPI_Bcast()"
"0.1","0.672","0.672","2013","0","MPI_Irecv()"
"0.1","0.00809","0.504","4","8","NORM2U3"
"0.0","0.0308","0.09","78","78","GIVE3_EX"
"0.0","0.0559","0.0559","153.5","0","ZERO3"
"0.0","0.0388","0.0388","194.781","0","BUBBLE"
"0.0","0.0358","0.0358","216.062","0","RANDLC"
"0.0","0.028","0.0286","1","2","GET_ACTIVE_NPROCS"
"0.0","0.015","0.0266","6","70.0625","POWER"
"0.0","0.0244","0.0244","128","0","VRANLC"
"0.0","0.0155","0.0155","1","0","ALLOC_SPACE"
"0.0","0.0148","0.0148","2","0","TIMER_START"
"0.0","0.00977","0.00977","2","0","SETUP"
"0.0","0.00805","0.00805","1","0","MPI_Reduce()"
"0.0","0.00717","0.00717","0.015625","0","CHECK_TIMER_FLAG"
"0.0","0.00303","0.00303","17","0","TIMER_CLEAR"
"0.0","0.00184","0.00184","0.015625","0","PRINT_RESULTS"
"0.0","0.000828","0.000828","2","0","TIMER_STOP"
"0.0","0.000422","0.000422","1","0","MPI_Comm_size()"
"0.0","0.000172","0.000172","1.01562","0","TIMER_READ"
"0.0","0.000156","0.000156","1","0","MPI_Comm_rank()"
