"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.0078","988","1","1",".TAU_application"
"100.0","0.251","988","1","80.0469","MG_MPI"
"58.0","572","572","1","0","MPI_Finalize()"
"40.6","401","401","1","0","MPI_Init()"
"0.7","0.1","7","16","336","MG3P"
"0.7","0.547","7","228","3628","COMM3"
"0.4","4","4","1248","0","MPI_Wait()"
"0.4","0.458","3","1200","1200","TAKE3"
"0.3","0.118","3","82","82","RESID"
"0.2","0.0732","2","80","80","PSINV"
"0.2","0.153","2","2","562.781","ZRAN3"
"0.2","1","1","88","0","MPI_Allreduce()"
"0.2","0.456","1","1200","1200","GIVE3"
"0.2","1","1","6","0","MPI_Barrier()"
"0.2","0.0403","1","64","64","RPRJ3"
"0.1","1","1","1248","0","MPI_Send()"
"0.1","0.0691","1","64","64","INTERP"
"0.1","0.0376","0.98","64","144","COMM3_EX"
"0.1","0.894","0.894","7","0","MPI_Bcast()"
"0.1","0.506","0.878","1248","1248","READY"
"0.1","0.0188","0.845","48","48","TAKE3_EX"
"0.1","0.00727","0.698","4","8","NORM2U3"
"0.0","0.372","0.372","1248","0","MPI_Irecv()"
"0.0","0.337","0.337","2","0","TIMER_START"
"0.0","0.0189","0.064","48","48","GIVE3_EX"
"0.0","0.0369","0.0369","96","0","ZERO3"
"0.0","0.0338","0.0338","194.781","0","BUBBLE"
"0.0","0.0321","0.0321","216.062","0","RANDLC"
"0.0","0.0267","0.0272","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0134","0.0239","6","70.0625","POWER"
"0.0","0.0216","0.0216","128","0","VRANLC"
"0.0","0.0158","0.0158","1","0","ALLOC_SPACE"
"0.0","0.00969","0.00969","1","0","MPI_Reduce()"
"0.0","0.00755","0.00755","0.015625","0","CHECK_TIMER_FLAG"
"0.0","0.00705","0.00705","2","0","SETUP"
"0.0","0.00269","0.00269","17","0","TIMER_CLEAR"
"0.0","0.00209","0.00209","0.015625","0","PRINT_RESULTS"
"0.0","0.00075","0.00075","2","0","TIMER_STOP"
"0.0","0.000281","0.000281","1","0","MPI_Comm_size()"
"0.0","0.00025","0.00025","1","0","MPI_Comm_rank()"
"0.0","0.00025","0.00025","1.01562","0","TIMER_READ"
