"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00387","861","1","1",".TAU_application"
"100.0","0.116","861","1","124.031","FT"
"49.7","0.0444","428","1","10.0312","SETUP"
"49.5","426","426","1","0","MPI_Init()"
"48.2","414","414","1","0","MPI_Finalize()"
"1.9","0.0365","16","27","108","FFT"
"1.2","0.0182","10","27","27","TRANSPOSE2_GLOBAL"
"1.2","10","10","27","0","MPI_Alltoall()"
"0.7","0.0182","6","25","75","TRANSPOSE_X_YZ"
"0.5","0.00864","4","2","6","TRANSPOSE_XY_Z"
"0.5","0.33","4","324","1944","CFFTZ"
"0.5","3","3","1944","0","FFTZ2"
"0.4","0.774","3","54","270","CFFTS1"
"0.2","0.314","1","27","135","CFFTS2"
"0.1","0.933","0.933","5","0","MPI_Bcast()"
"0.1","0.672","0.672","2","0","MPI_Comm_split()"
"0.1","0.123","0.533","25","25","CHECKSUM"
"0.1","0.491","0.491","27","0","TRANSPOSE2_LOCAL"
"0.0","0.41","0.41","25","0","MPI_Reduce()"
"0.0","0.369","0.369","2","0","COMPUTE_INDEXMAP"
"0.0","0.33","0.33","25","0","EVOLVE"
"0.0","0.234","0.234","1","0","MPI_Barrier()"
"0.0","0.228","0.228","27","0","TRANSPOSE2_FINISH"
"0.0","0.00544","0.0858","2","8","COMPUTE_INITIAL_CONDITIONS"
"0.0","0.0581","0.0581","2","0","VRANLC"
"0.0","0.0376","0.038","2","2","FFT_INIT"
"0.0","0.0239","0.0246","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0117","0.0219","4","67.6562","IPOW46"
"0.0","0.0181","0.0181","1","0","ALLOC_SPACE"
"0.0","0.0134","0.0134","83","0","ILOG2"
"0.0","0.0105","0.0105","69.6562","0","RANDLC"
"0.0","0.00781","0.00781","2","0","TIMER_START"
"0.0","0.00648","0.00648","0.015625","0","CHECK_TIMER_FLAG"
"0.0","0.00506","0.00506","32","0","TIMER_CLEAR"
"0.0","0.00303","0.00303","0.015625","0","PRINT_RESULTS"
"0.0","0.00116","0.00116","2","0","TIMER_STOP"
"0.0","0.000547","0.000547","1","0","MPI_Comm_size()"
"0.0","0.000203","0.000203","1","0","VERIFY"
"0.0","0.000188","0.000188","1.01562","0","TIMER_READ"
"0.0","0.000172","0.000172","1","0","MPI_Comm_rank()"
"0.0","0","0","0.015625","0","SET_CLASS"
