"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00431","832","1","1",".TAU_application"
"100.0","0.0862","832","1","94.0625","FT"
"58.5","486","486","1","0","MPI_Finalize()"
"40.9","0.275","340","1","10.0625","SETUP"
"40.5","337","337","1","0","MPI_Init()"
"0.5","0.0307","4","17","68","FFT"
"0.4","0.0113","3","17","17","TRANSPOSE2_GLOBAL"
"0.4","3","3","17","0","MPI_Alltoall()"
"0.2","0.0113","1","2","6","TRANSPOSE_XY_Z"
"0.2","1","1","2","0","MPI_Comm_split()"
"0.2","0.00959","1","15","45","TRANSPOSE_X_YZ"
"0.1","1","1","5","0","MPI_Bcast()"
"0.1","0.132","0.65","102","510","CFFTZ"
"0.1","0.119","0.556","34","102","CFFTS1"
"0.1","0.517","0.517","510","0","FFTZ2"
"0.0","0.0518","0.273","17","51","CFFTS2"
"0.0","0.0679","0.178","15","15","CHECKSUM"
"0.0","0.129","0.129","1","0","MPI_Barrier()"
"0.0","0.11","0.11","15","0","MPI_Reduce()"
"0.0","0.0968","0.0968","2","0","COMPUTE_INDEXMAP"
"0.0","0.0908","0.0908","17","0","TRANSPOSE2_LOCAL"
"0.0","0.0452","0.0452","15","0","EVOLVE"
"0.0","0.00494","0.0387","2","8","COMPUTE_INITIAL_CONDITIONS"
"0.0","0.0352","0.0352","17","0","TRANSPOSE2_FINISH"
"0.0","0.0278","0.0282","2","2","FFT_INIT"
"0.0","0.0245","0.0252","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0112","0.0199","4","56.4375","IPOW46"
"0.0","0.0174","0.0174","0.03125","0","CHECK_TIMER_FLAG"
"0.0","0.0137","0.0137","2","0","VRANLC"
"0.0","0.0126","0.0126","1","0","ALLOC_SPACE"
"0.0","0.00897","0.00897","58.4375","0","RANDLC"
"0.0","0.00859","0.00859","53","0","ILOG2"
"0.0","0.00528","0.00528","2","0","TIMER_START"
"0.0","0.00509","0.00509","32","0","TIMER_CLEAR"
"0.0","0.00484","0.00484","0.03125","0","PRINT_RESULTS"
"0.0","0.00109","0.00109","2","0","TIMER_STOP"
"0.0","0.000469","0.000469","1","0","MPI_Comm_size()"
"0.0","0.000281","0.000281","1","0","MPI_Comm_rank()"
"0.0","0.000219","0.000219","1","0","VERIFY"
"0.0","0.000156","0.000156","1.03125","0","TIMER_READ"
"0.0","0","0","0.03125","0","SET_CLASS"
