Name,#Call
.TAU_application,1
APPLU,1
SSOR,2
EXCHANGE_1,100400
MPI_Recv(),87850
RHS,253
MPI_Finalize(),1
INIT_COMM,1
MPI_Init(),1
JACLD,313750
JACU,313750
BLTS,313750
BUTS,313750
EXCHANGE_3,508
MPI_Send(),88741.2
MPI_Wait(),891.188
SETIV,2
EXACT,205076
ERHS,1
MPI_Allreduce(),10
L2NORM,4
ERROR,1
MPI_Irecv(),891.188
READ_INPUT,1
BCAST_INPUTS,1
MPI_Bcast(),10
SETBV,2
PINTGR,1
MPI_Barrier(),2
ALLOC_SPACE,1
EXCHANGE_4,1
EXCHANGE_6,0.25
PROC_GRID,1
VERIFY,0.015625
EXCHANGE_5,0.25
SETCOEFF,1
MPI_Comm_size(),1
NEIGHBORS,1
MPI_Comm_rank(),1
ISQRT2,1
SUBDOMAIN,1
SET_CLASS,0.015625
