"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00444","838","1","1",".TAU_application"
"100.0","0.0871","838","1","124.062","FT"
"56.1","470","470","1","0","MPI_Finalize()"
"43.0","0.0562","360","1","10.0625","SETUP"
"42.8","358","358","1","0","MPI_Init()"
"0.7","0.0389","6","27","108","FFT"
"0.5","0.0169","4","27","27","TRANSPOSE2_GLOBAL"
"0.5","4","4","27","0","MPI_Alltoall()"
"0.3","0.0156","2","25","75","TRANSPOSE_X_YZ"
"0.3","0.0115","2","2","6","TRANSPOSE_XY_Z"
"0.1","1","1","5","0","MPI_Bcast()"
"0.1","0.207","1","162","810","CFFTZ"
"0.1","0.19","0.886","54","162","CFFTS1"
"0.1","0.832","0.832","810","0","FFTZ2"
"0.1","0.584","0.584","2","0","MPI_Comm_split()"
"0.1","0.0848","0.441","27","81","CFFTS2"
"0.0","0.341","0.341","1","0","MPI_Barrier()"
"0.0","0.113","0.285","25","25","CHECKSUM"
"0.0","0.172","0.172","25","0","MPI_Reduce()"
"0.0","0.138","0.138","27","0","TRANSPOSE2_LOCAL"
"0.0","0.103","0.103","2","0","COMPUTE_INDEXMAP"
"0.0","0.0765","0.0765","25","0","EVOLVE"
"0.0","0.0512","0.0512","27","0","TRANSPOSE2_FINISH"
"0.0","0.00475","0.0395","2","8","COMPUTE_INITIAL_CONDITIONS"
"0.0","0.0289","0.0292","2","2","FFT_INIT"
"0.0","0.0257","0.0265","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0118","0.021","4","56.4375","IPOW46"
"0.0","0.0159","0.0159","0.03125","0","CHECK_TIMER_FLAG"
"0.0","0.0135","0.0135","83","0","ILOG2"
"0.0","0.0134","0.0134","2","0","VRANLC"
"0.0","0.013","0.013","1","0","ALLOC_SPACE"
"0.0","0.00956","0.00956","58.4375","0","RANDLC"
"0.0","0.00631","0.00631","2","0","TIMER_START"
"0.0","0.00519","0.00519","32","0","TIMER_CLEAR"
"0.0","0.00484","0.00484","0.03125","0","PRINT_RESULTS"
"0.0","0.000969","0.000969","2","0","TIMER_STOP"
"0.0","0.000531","0.000531","1","0","MPI_Comm_size()"
"0.0","0.000313","0.000313","1.03125","0","TIMER_READ"
"0.0","0.000313","0.000313","1","0","VERIFY"
"0.0","0.00025","0.00025","1","0","MPI_Comm_rank()"
"0.0","0","0","0.03125","0","SET_CLASS"
