"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00369","785","1","1",".TAU_application"
"100.0","0.124","785","1","79.0312","FT"
"52.9","0.0464","415","1","10.0312","SETUP"
"52.6","413","413","1","0","MPI_Init()"
"40.2","315","315","1","0","MPI_Finalize()"
"6.2","0.0264","48","12","48","FFT"
"3.2","0.00994","25","12","12","TRANSPOSE2_GLOBAL"
"3.2","25","25","12","0","MPI_Alltoall()"
"2.2","0.00769","17","10","30","TRANSPOSE_X_YZ"
"2.1","1","16","576","4032","CFFTZ"
"1.9","14","14","4032","0","FFTZ2"
"1.7","2","13","24","408","CFFTS1"
"1.4","0.00767","10","2","6","TRANSPOSE_XY_Z"
"0.9","1","7","12","204","CFFTS2"
"0.3","2","2","2","0","COMPUTE_INDEXMAP"
"0.2","1","1","12","0","TRANSPOSE2_LOCAL"
"0.1","1","1","12","0","TRANSPOSE2_FINISH"
"0.1","1","1","10","0","EVOLVE"
"0.1","1","1","5","0","MPI_Bcast()"
"0.1","0.0506","0.921","10","10","CHECKSUM"
"0.1","0.87","0.87","10","0","MPI_Reduce()"
"0.1","0.626","0.626","2","0","MPI_Comm_split()"
"0.1","0.491","0.491","1","0","MPI_Barrier()"
"0.1","0.00597","0.474","2","12","COMPUTE_INITIAL_CONDITIONS"
"0.1","0.446","0.446","4","0","VRANLC"
"0.0","0.0523","0.0525","2","2","FFT_INIT"
"0.0","0.0215","0.0219","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0219","0.0219","1","0","ALLOC_SPACE"
"0.0","0.0106","0.0212","4","77.5625","IPOW46"
"0.0","0.0111","0.0111","81.5625","0","RANDLC"
"0.0","0.00714","0.00714","0.015625","0","CHECK_TIMER_FLAG"
"0.0","0.00678","0.00678","2","0","TIMER_START"
"0.0","0.00567","0.00567","38","0","ILOG2"
"0.0","0.00466","0.00466","32","0","TIMER_CLEAR"
"0.0","0.00245","0.00245","0.015625","0","PRINT_RESULTS"
"0.0","0.00119","0.00119","2","0","TIMER_STOP"
"0.0","0.00025","0.00025","1","0","MPI_Comm_size()"
"0.0","0.000219","0.000219","1","0","VERIFY"
"0.0","0.000141","0.000141","1.01562","0","TIMER_READ"
"0.0","9.38E-05","9.38E-05","1","0","MPI_Comm_rank()"
"0.0","0","0","0.015625","0","SET_CLASS"
