"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00884","918","1","1",".TAU_application"
"100.0","0.139","918","1","100.094","MG_MPI"
"62.0","569","569","1","0","MPI_Finalize()"
"37.0","339","339","1","0","MPI_Init()"
"0.6","0.0975","5","26","286","MG3P"
"0.6","0.552","5","212","3153","COMM3"
"0.3","3","3","1090","0","MPI_Wait()"
"0.3","0.416","2","1038","1038","TAKE3"
"0.3","0.0342","2","80","80","RESID"
"0.2","0.0347","1","78","78","PSINV"
"0.1","0.417","1","1038","1038","GIVE3"
"0.1","0.0613","1","2","174.188","ZRAN3"
"0.1","0.0357","1","52","52","INTERP"
"0.1","0.0408","1","52","156","COMM3_EX"
"0.1","0.0228","1","52","52","TAKE3_EX"
"0.1","0.997","0.997","88","0","MPI_Allreduce()"
"0.1","0.984","0.984","1090","0","MPI_Send()"
"0.1","0.0202","0.926","52","52","RPRJ3"
"0.1","0.458","0.813","1090","1090","READY"
"0.1","0.735","0.735","7","0","MPI_Bcast()"
"0.1","0.528","0.528","6","0","MPI_Barrier()"
"0.0","0.355","0.355","1090","0","MPI_Irecv()"
"0.0","0.00363","0.128","4","8","NORM2U3"
"0.0","0.0231","0.0563","52","52","GIVE3_EX"
"0.0","0.027","0.0275","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0222","0.0222","95","0","ZERO3"
"0.0","0.00978","0.0173","6","46.3125","POWER"
"0.0","0.0132","0.0132","0.03125","0","CHECK_TIMER_FLAG"
"0.0","0.012","0.012","2","0","TIMER_START"
"0.0","0.0109","0.0109","58.1875","0","BUBBLE"
"0.0","0.0101","0.0101","1","0","ALLOC_SPACE"
"0.0","0.00962","0.00962","60.3125","0","RANDLC"
"0.0","0.00831","0.00831","1","0","MPI_Reduce()"
"0.0","0.00625","0.00625","2","0","SETUP"
"0.0","0.00481","0.00481","0.03125","0","PRINT_RESULTS"
"0.0","0.003","0.003","17","0","TIMER_CLEAR"
"0.0","0.00153","0.00153","8","0","VRANLC"
"0.0","0.000687","0.000687","2","0","TIMER_STOP"
"0.0","0.000344","0.000344","1","0","MPI_Comm_size()"
"0.0","0.000219","0.000219","1.03125","0","TIMER_READ"
"0.0","0.000188","0.000188","1","0","MPI_Comm_rank()"
