Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00375,17,319,1,1,17319982
int_main(int_char_**),100.0,9,052,17,319,1,364.016,17319978
void_CalcKinematicsForElems(Domain,18.1,1,853,3,140,32,8.38861E+06,98152
MPI_Allreduce(),10.3,1,790,1,790,31,0,57752
void_CommSend(Domain,8.2,45,1,415,97,1054.62,14593
Real_t_CalcElemVolume(const,7.7,1,331,1,331,8.65075E+06,0,0
MPI_Waitall(),7.6,1,312,1,312,97,0,13530
MPI_Wait(),3.5,611,611,860.625,0,711
MPI_Finalize(),3.5,602,602,1,0,602026
MPI_Init(),2.5,434,434,1,0,434643
void_CommSyncPosVel(Domain,2.2,59,382,32,266,11949
void_CommSBN(Domain,1.5,15,259,33,515.625,7850
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.9,92,148,1,262150,148167
MPI_Isend(),0.3,57,57,860.625,0,66
void_CommMonoQ(Domain,0.3,10,56,32,176,1753
MPI_Barrier(),0.1,24,24,1,0,24677
MPI_Reduce(),0.1,12,12,1,0,12191
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,4,4,1,0,4140
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,3,3,1,1,3198
void_Domain::SetupElementConnectivities(Int_t),0.0,1,1,1,0,1997
void_CommRecv(Domain,0.0,0.364,1,97,957.625,18
MPI_Irecv(),0.0,1,1,860.625,0,2
void_Domain::SetupCommBuffers(Int_t),0.0,1,1,1,0,1186
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.824,0.824,1,0,824
void_Domain::~Domain(),0.0,0.276,0.276,1,0,276
MPI_Comm_rank(),0.0,0.221,0.221,293,0,1
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0109,0.0109,1,0,11
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00959,0.00959,1,0,10
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00298,0.005,1,2,5
StrToInt,0.0,0.00202,0.00202,2,0,1
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.00148,0.00148,0.015625,0,95
MPI_Comm_size(),0.0,0.000516,0.000516,1,0,1
