Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.0035,53,322,1,1,53322795
int_main(int_char_**),100.0,30,321,53,322,1,1420.12,53322791
void_CalcKinematicsForElems(Domain,22.4,7,028,11,933,128,3.35544E+07,93228
MPI_Finalize(),13.1,6,999,6,999,1,0,6999717
Real_t_CalcElemVolume(const,9.3,4,943,4,943,3.38166E+07,0,0
MPI_Allreduce(),5.0,2,690,2,690,127,0,21184
void_CommSend(Domain,1.2,112,655,385,2505,1703
MPI_Waitall(),1.0,536,536,385,0,1392
MPI_Init(),0.7,355,355,1,0,355830
void_CommSyncPosVel(Domain,0.3,139,160,128,576,1257
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.2,73,122,1,262150,122272
void_CommSBN(Domain,0.1,25,55,129,1032,433
MPI_Wait(),0.1,52,52,1735,0,30
void_CommMonoQ(Domain,0.0,23,23,128,512,187
MPI_Isend(),0.0,6,6,1735,0,4
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,4,4,1,0,4182
void_CommRecv(Domain,0.0,0.886,2,385,2120,8
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,2,2,1,1,2780
void_Domain::SetupElementConnectivities(Int_t),0.0,1,1,1,0,1874
MPI_Irecv(),0.0,1,1,1735,0,1
MPI_Comm_rank(),0.0,0.699,0.699,1157,0,1
void_Domain::SetupCommBuffers(Int_t),0.0,0.694,0.694,1,0,694
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.691,0.691,1,0,691
MPI_Reduce(),0.0,0.396,0.396,1,0,396
void_Domain::~Domain(),0.0,0.138,0.138,1,0,138
MPI_Barrier(),0.0,0.0524,0.0524,1,0,52
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.0123,0.0123,0.125,0,98
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.01,0.01,1,0,10
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.009,0.009,1,0,9
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.002,0.00387,1,2,4
StrToInt,0.0,0.00187,0.00187,2,0,1
MPI_Comm_size(),0.0,0.000375,0.000375,1,0,0
