%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive,Name
100.0,0.00697,2:22.265,1,1,142265652,.TAU_application
100.0,41,2:22.265,1,781.031,142265645,CG
82.5,1:40.824,1:57.351,76,59280,1544103,CONJ_GRAD
16.7,723,23,749,1,3E+06,23749349,MAKEA
15.4,11,014,21,969,1.5E+06,8.80983E+07,15,SPRNVC
6.4,9,126,9,126,19988,0,457,MPI_Send()
5.1,7,319,7,319,5.87322E+07,0,0,RANDLC
5.1,7,271,7,271,19988,0,364,MPI_Wait()
2.6,3,636,3,636,2.93661E+07,0,0,ICNVRT
0.6,842,842,1,0,842108,SPARSE
0.6,793,793,1,0,793080,MPI_Finalize()
0.2,0.0404,317,1,3.03125,317773,INITIALIZE_MPI
0.2,316,316,1,0,316960,MPI_Init()
0.2,213,213,1.5E+06,0,0,VECSET
0.1,133,133,19988,0,7,MPI_Irecv()
0.0,7,7,1,0,7400,ALLOC_SPACE
0.0,0.731,0.731,1,0,731,MPI_Bcast()
0.0,0.257,0.257,1,0,257,MPI_Barrier()
0.0,0.0724,0.0724,1,0,72,MPI_Reduce()
0.0,0.0242,0.0249,1,2,25,GET_ACTIVE_NPROCS
0.0,0.0168,0.0168,1,0,17,TIMER_START
0.0,0.0165,0.0165,0.03125,0,529,CHECK_TIMER_FLAG
0.0,0.00472,0.00472,0.03125,0,151,PRINT_RESULTS
0.0,0.00153,0.00153,9,0,0,TIMER_CLEAR
0.0,0.000844,0.000844,1,0,1,TIMER_STOP
0.0,0.000656,0.000656,1,0,1,SETUP_SUBMATRIX_INFO
0.0,0.000406,0.000406,1,0,0,MPI_Comm_size()
0.0,0.000375,0.000375,1,0,0,SETUP_PROC_INFO
0.0,0.000281,0.000281,1,0,0,MPI_Comm_rank()
0.0,6.25E-05,6.25E-05,1,0,0,TIMER_READ
