Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00356,5,987,1,1,5987033
int_main(int_char_**),100.0,117,5,987,1,100.037,5987030
MPI_Finalize(),81.7,4,889,4,889,1,0,4889810
MPI_Init(),14.3,854,854,1,0,854525
void_CalcKinematicsForElems(Domain,0.7,25,42,8,110592,5349
void_CommSend(Domain,0.6,0.988,33,25,234.148,1333
MPI_Waitall(),0.5,31,31,25,0,1267
MPI_Allreduce(),0.5,29,29,7,0,4261
Real_t_CalcElemVolume(const,0.3,19,19,124416,0,0
MPI_Wait(),0.1,8,8,184.148,0,47
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.1,5,8,1,13830,8364
void_CommSBN(Domain,0.1,0.248,7,9,114.333,783
void_CommSyncPosVel(Domain,0.0,0.554,2,8,54.8148,307
MPI_Isend(),0.0,0.642,0.642,184.148,0,3
MPI_Reduce(),0.0,0.456,0.456,1,0,456
void_CommMonoQ(Domain,0.0,0.263,0.273,8,40,34
void_CommRecv(Domain,0.0,0.0568,0.253,25,209.148,10
MPI_Barrier(),0.0,0.239,0.239,1,0,239
MPI_Irecv(),0.0,0.189,0.189,184.148,0,1
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,0.179,0.18,1,1,180
void_Domain::SetupCommBuffers(Int_t),0.0,0.178,0.178,1,0,178
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,0.176,0.176,1,0,176
void_Domain::SetupElementConnectivities(Int_t),0.0,0.104,0.104,1,0,104
MPI_Comm_rank(),0.0,0.0244,0.0244,77,0,0
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.0201,0.0201,1,0,20
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0133,0.0133,1,0,13
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00189,0.00385,1,2,4
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.00367,0.00367,0.037037,0,99
void_Domain::~Domain(),0.0,0.00207,0.00207,1,0,2
StrToInt,0.0,0.00196,0.00196,2,0,1
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00167,0.00167,1,0,2
MPI_Comm_size(),0.0,0.000519,0.000519,1,0,1
