%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive,Name
100.0,0.00669,2,575,1,1,2575094,.TAU_application
100.0,0.351,2,575,1,150.188,2575088,MG_MPI
38.4,0.808,988,51,1836,19385,MG3P
34.4,886,886,1,0,886080,MPI_Finalize()
27.0,430,696,410,410,1699,RESID
18.6,3,479,1177,20319,407,COMM3
12.8,330,330,1,0,330772,MPI_Init()
12.3,190,317,408,408,778,PSINV
10.1,41,258,6756,6756,38,GIVE3
8.4,217,217,6807,0,32,MPI_Send()
6.9,94,176,357,357,495,RPRJ3
4.5,32,116,6756,6756,17,TAKE3
3.9,97,101,6807,6807,15,READY
3.8,91,98,357,357,275,INTERP
3.5,90,90,6807,0,13,MPI_Wait()
1.6,10,40,2,33491.5,20295,ZRAN3
0.8,20,20,412,0,51,ZERO3
0.5,12,12,6,0,2084,MPI_Barrier()
0.3,5,8,4,8,2048,NORM2U3
0.2,0.126,6,357,153,18,COMM3_EX
0.2,6,6,16384,0,0,VRANLC
0.2,0.0233,5,51,51,109,TAKE3_EX
0.2,4,4,6807,0,1,MPI_Irecv()
0.1,2,2,88,0,33,MPI_Allreduce()
0.1,2,2,16614.5,0,0,RANDLC
0.0,1,1,1,0,1078,ALLOC_SPACE
0.0,0.975,0.975,7,0,139,MPI_Bcast()
0.0,0.0898,0.0898,499.5,0,0,BUBBLE
0.0,0.0249,0.055,51,51,1,GIVE3_EX
0.0,0.0545,0.0545,2,0,27,TIMER_START
0.0,0.0371,0.0371,0.0625,0,593,CHECK_TIMER_FLAG
0.0,0.0164,0.0324,6,100.5,5,POWER
0.0,0.0297,0.0304,1,2,30,GET_ACTIVE_NPROCS
0.0,0.014,0.014,1,0,14,MPI_Reduce()
0.0,0.00825,0.00825,0.0625,0,132,PRINT_RESULTS
0.0,0.00681,0.00681,2,0,3,SETUP
0.0,0.00287,0.00287,17,0,0,TIMER_CLEAR
0.0,0.00137,0.00137,2,0,1,TIMER_STOP
0.0,0.000375,0.000375,1,0,0,MPI_Comm_rank()
0.0,0.000313,0.000313,1,0,0,MPI_Comm_size()
0.0,0.000188,0.000188,1.0625,0,0,TIMER_READ
