Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00341,1:04.365,1,1,64365397
int_main(int_char_**),100.0,38,408,1:04.365,1,1420.04,64365394
void_CalcKinematicsForElems(Domain,18.5,6,977,11,904,128,3.35544E+07,93006
Real_t_CalcElemVolume(const,7.7,4,967,4,967,3.38166E+07,0,0
MPI_Finalize(),7.4,4,781,4,781,1,0,4781762
MPI_Allreduce(),7.1,4,586,4,586,127,0,36111
void_CommSend(Domain,3.7,183,2,361,385,3540.81,6134
MPI_Waitall(),3.4,2,165,2,165,385,0,5624
MPI_Wait(),2.0,1,255,1,255,2770.81,0,453
void_CommSBN(Domain,1.5,58,959,129,1638.78,7442
void_CommSyncPosVel(Domain,0.9,236,589,128,877.037,4606
MPI_Init(),0.9,585,585,1,0,585623
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.2,84,136,1,262150,136351
void_CommMonoQ(Domain,0.1,36,37,128,640,290
MPI_Isend(),0.0,12,12,2770.81,0,5
void_CommRecv(Domain,0.0,1,5,385,3155.81,14
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,5,5,1,0,5241
MPI_Reduce(),0.0,4,4,1,0,4803
MPI_Irecv(),0.0,3,3,2770.81,0,1
MPI_Barrier(),0.0,3,3,1,0,3699
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,3,3,1,1,3063
void_Domain::SetupElementConnectivities(Int_t),0.0,2,2,1,0,2211
void_Domain::SetupCommBuffers(Int_t),0.0,1,1,1,0,1101
MPI_Comm_rank(),0.0,0.955,0.955,1157,0,1
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.907,0.907,1,0,907
void_Domain::~Domain(),0.0,0.189,0.189,1,0,189
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.0101,0.0101,1,0,10
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0101,0.0101,1,0,10
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.00359,0.00359,0.037037,0,97
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00159,0.00344,1,2,3
StrToInt,0.0,0.00185,0.00185,2,0,1
MPI_Comm_size(),0.0,0.000407,0.000407,1,0,0
