Name,#Call
.TAU_application,1
APPLU,1
SSOR,2
RHS,303
JACLD,1.24039E+07
JACU,1.24039E+07
BLTS,1.24039E+07
BUTS,1.24039E+07
EXCHANGE_1,488824
MPI_Recv(),397170
EXCHANGE_3,608
SETIV,2
EXACT,2.72501E+07
MPI_Wait(),990.25
MPI_Send(),398160
MPI_Finalize(),1
ERHS,1
ERROR,1
INIT_COMM,1
MPI_Init(),1
L2NORM,4
MPI_Allreduce(),10
SETBV,2
MPI_Irecv(),990.25
ALLOC_SPACE,1
PINTGR,1
READ_INPUT,1
BCAST_INPUTS,1
MPI_Bcast(),10
MPI_Barrier(),2
EXCHANGE_4,1
EXCHANGE_5,0.5
VERIFY,0.03125
PROC_GRID,1
EXCHANGE_6,0.25
SETCOEFF,1
MPI_Comm_size(),1
NEIGHBORS,1
ISQRT2,1
SUBDOMAIN,1
MPI_Comm_rank(),1
SET_CLASS,0.03125
