Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00326,6,938,1,1,6938760
int_main(int_char_**),100.0,877,6,938,1,716.037,6938757
MPI_Finalize(),69.7,4,837,4,837,1,0,4837061
MPI_Init(),8.0,556,556,1,0,556806
void_CalcKinematicsForElems(Domain,4.5,183,314,64,884736,4909
MPI_Allreduce(),3.2,222,222,63,0,3533
Real_t_CalcElemVolume(const,1.9,133,133,898560,0,0
void_CommSend(Domain,1.2,7,81,193,1777.26,422
MPI_Waitall(),1.0,70,70,193,0,363
MPI_Wait(),0.4,30,30,1391.26,0,22
void_CommSBN(Domain,0.3,1,24,65,825.741,370
void_CommSyncPosVel(Domain,0.2,4,12,64,438.519,199
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.1,4,8,1,13830,8032
MPI_Isend(),0.1,3,3,1391.26,0,3
void_CommMonoQ(Domain,0.0,1,1,64,320,30
void_CommRecv(Domain,0.0,0.394,1,193,1584.26,7
MPI_Irecv(),0.0,0.959,0.959,1391.26,0,1
MPI_Reduce(),0.0,0.448,0.448,1,0,448
MPI_Barrier(),0.0,0.381,0.381,1,0,381
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,0.18,0.181,1,1,181
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,0.177,0.177,1,0,177
void_Domain::SetupCommBuffers(Int_t),0.0,0.172,0.172,1,0,172
MPI_Comm_rank(),0.0,0.169,0.169,581,0,0
void_Domain::SetupElementConnectivities(Int_t),0.0,0.105,0.105,1,0,105
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.0207,0.0207,1,0,21
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0117,0.0117,1,0,12
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00181,0.00385,1,2,4
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.00315,0.00315,0.037037,0,85
StrToInt,0.0,0.00204,0.00204,2,0,1
void_Domain::~Domain(),0.0,0.00189,0.00189,1,0,2
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00159,0.00159,1,0,2
MPI_Comm_size(),0.0,0.000444,0.000444,1,0,0
