Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00359,5,534,1,1,5534711
int_main(int_char_**),100.0,1,772,5,534,1,1420,5534708
MPI_Allreduce(),24.4,1,350,1,350,127,0,10633
void_CalcKinematicsForElems(Domain,11.5,372,634,128,1.76947E+06,4960
MPI_Init(),9.7,538,538,1,0,538494
MPI_Finalize(),8.6,478,478,1,0,478119
MPI_Wait(),6.6,364,364,4324.72,0,84
void_CommSend(Domain,6.5,19,358,385,5094.72,930
MPI_Waitall(),5.8,322,322,385,0,837
Real_t_CalcElemVolume(const,4.8,265,265,1.7833E+06,0,0
void_CommMonoQ(Domain,3.2,5,176,128,786.286,1376
void_CommSyncPosVel(Domain,2.9,12,161,128,1343.81,1259
void_CommSBN(Domain,0.9,4,50,129,2579.62,389
MPI_Isend(),0.3,15,15,4324.72,0,4
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.2,5,8,1,13830,8870
void_CommRecv(Domain,0.1,1,3,385,4709.72,10
MPI_Irecv(),0.1,2,2,4324.72,0,1
MPI_Reduce(),0.0,1,1,1,0,1055
MPI_Barrier(),0.0,0.752,0.752,1,0,752
MPI_Comm_rank(),0.0,0.346,0.346,1157,0,0
void_Domain::SetupCommBuffers(Int_t),0.0,0.245,0.245,1,0,245
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,0.189,0.19,1,1,190
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,0.189,0.189,1,0,189
void_Domain::SetupElementConnectivities(Int_t),0.0,0.105,0.105,1,0,105
void_Domain::~Domain(),0.0,0.0559,0.0559,1,0,56
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.0226,0.0226,1,0,23
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0116,0.0116,1,0,12
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00155,0.00345,1,2,3
StrToInt,0.0,0.0019,0.0019,2,0,1
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00173,0.00173,1,0,2
MPI_Comm_size(),0.0,0.000469,0.000469,1,0,0
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.000259,0.000259,0.00291545,0,89
