Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00361,5,365,1,1,5365971
int_main(int_char_**),100.0,2,270,5,365,1,100.003,5365968
void_CalcKinematicsForElems(Domain,14.0,442,751,8,2.09715E+06,93990
MPI_Allreduce(),9.8,523,523,7,0,74775
MPI_Init(),9.6,516,516,1,0,516765
MPI_Finalize(),8.6,459,459,1,0,459642
void_CommSend(Domain,8.3,12,445,25,338.105,17818
MPI_Waitall(),7.1,382,382,25,0,15283
Real_t_CalcElemVolume(const,6.6,351,351,2.3593E+06,0,0
MPI_Wait(),3.9,208,208,288.105,0,725
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),2.7,90,145,1,262150,145621
void_CommSyncPosVel(Domain,2.4,17,130,8,83.9883,16289
void_CommSBN(Domain,1.7,3,90,9,179.974,10090
MPI_Isend(),0.9,50,50,288.105,0,176
MPI_Reduce(),0.3,14,14,1,0,14281
void_CommMonoQ(Domain,0.2,3,11,8,49.1429,1490
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.1,4,4,1,0,4675
MPI_Barrier(),0.1,4,4,1,0,4176
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.1,3,3,1,1,3247
void_Domain::SetupElementConnectivities(Int_t),0.0,2,2,1,0,2178
void_Domain::SetupCommBuffers(Int_t),0.0,1,1,1,0,1221
void_Domain::SetupBoundaryConditions(Int_t),0.0,1,1,1,0,1024
void_CommRecv(Domain,0.0,0.0997,0.563,25,313.105,23
MPI_Irecv(),0.0,0.448,0.448,288.105,0,2
void_Domain::~Domain(),0.0,0.275,0.275,1,0,275
MPI_Comm_rank(),0.0,0.0534,0.0534,77,0,1
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0113,0.0113,1,0,11
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.0088,0.0088,1,0,9
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00162,0.00347,1,2,3
StrToInt,0.0,0.00185,0.00185,2,0,1
MPI_Comm_size(),0.0,0.000534,0.000534,1,0,1
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.00035,0.00035,0.00291545,0,120
