Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00356,4,731,1,1,4731231
int_main(int_char_**),100.0,1,704,4,731,1,188.005,4731227
MPI_Allreduce(),15.7,742,742,15,0,49525
void_CalcKinematicsForElems(Domain,13.4,370,631,16,1.76947E+06,39490
void_CommSend(Domain,10.1,13,479,49,627.074,9790
MPI_Finalize(),9.9,468,468,1,0,468786
MPI_Waitall(),9.3,442,442,49,0,9025
MPI_Init(),9.2,434,434,1,0,434702
Real_t_CalcElemVolume(const,6.0,282,282,1.88006E+06,0,0
MPI_Wait(),3.6,170,170,529.074,0,322
void_CommSyncPosVel(Domain,2.3,15,108,16,159.704,6810
void_CommSBN(Domain,1.5,4,69,17,322.37,4073
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),1.5,42,68,1,110598,68969
MPI_Isend(),0.5,23,23,529.074,0,45
void_CommMonoQ(Domain,0.3,2,14,16,96,923
MPI_Reduce(),0.1,4,4,1,0,4723
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,1,1,1,0,1843
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,1,1,1,1,1417
MPI_Barrier(),0.0,1,1,1,0,1110
void_Domain::SetupElementConnectivities(Int_t),0.0,0.878,0.878,1,0,878
void_Domain::SetupCommBuffers(Int_t),0.0,0.836,0.836,1,0,836
void_CommRecv(Domain,0.0,0.171,0.818,49,578.074,17
MPI_Irecv(),0.0,0.62,0.62,529.074,0,1
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.244,0.244,1,0,244
void_Domain::~Domain(),0.0,0.164,0.164,1,0,164
MPI_Comm_rank(),0.0,0.0939,0.0939,149,0,1
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0108,0.0108,1,0,11
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00539,0.00539,1,0,5
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00163,0.00352,1,2,4
StrToInt,0.0,0.00188,0.00188,2,0,1
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.000454,0.000454,0.00462963,0,98
MPI_Comm_size(),0.0,0.00044,0.00044,1,0,0
