%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive,Name
100.0,0.00675,1:35.562,1,1,95562712,.TAU_application
100.0,13,1:35.562,1,385.25,95562706,CG
89.1,1:23.718,1:25.154,91,28392,935762,CONJ_GRAD
8.1,7,775,7,775,1,0,7775654,MPI_Finalize()
2.4,146,2,255,1,200001,2255796,MAKEA
1.7,785,1,662,100000,7.08268E+06,17,SPRNVC
1.2,1,124,1,124,9555,0,118,MPI_Send()
0.6,584,584,4.72179E+06,0,0,RANDLC
0.5,433,433,1,0,433158,SPARSE
0.4,0.0385,360,1,3.25,360746,INITIALIZE_MPI
0.4,359,359,1,0,359914,MPI_Init()
0.3,302,302,9555,0,32,MPI_Wait()
0.3,291,291,2.36089E+06,0,0,ICNVRT
0.0,14,14,100000,0,0,VECSET
0.0,9,9,9555,0,1,MPI_Irecv()
0.0,2,2,1,0,2426,ALLOC_SPACE
0.0,0.593,0.593,1,0,593,MPI_Bcast()
0.0,0.174,0.174,0.25,0,698,CHECK_TIMER_FLAG
0.0,0.0432,0.0432,0.25,0,173,PRINT_RESULTS
0.0,0.0312,0.0312,1,0,31,MPI_Barrier()
0.0,0.0255,0.0265,1,2,26,GET_ACTIVE_NPROCS
0.0,0.0253,0.0253,1,0,25,MPI_Reduce()
0.0,0.00675,0.00675,1,0,7,TIMER_START
0.0,0.00175,0.00175,9,0,0,TIMER_CLEAR
0.0,0.0005,0.0005,1,0,0,MPI_Comm_rank()
0.0,0.0005,0.0005,1,0,0,MPI_Comm_size()
0.0,0.0005,0.0005,1,0,0,SETUP_SUBMATRIX_INFO
0.0,0.0005,0.0005,1,0,0,TIMER_STOP
0.0,0.00025,0.00025,1,0,0,SETUP_PROC_INFO
0.0,0,0,1,0,0,TIMER_READ
