Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00356,16,106,1,1,16106162
int_main(int_char_**),100.0,8,499,16,106,1,2828.02,16106158
void_CalcKinematicsForElems(Domain,18.6,1,762,2,999,256,8.38861E+06,11717
MPI_Allreduce(),13.3,2,138,2,138,255,0,8386
Real_t_CalcElemVolume(const,7.7,1,243,1,243,8.42138E+06,0,0
void_CommSend(Domain,6.5,78,1,048,769,8320.62,1363
MPI_Waitall(),5.8,937,937,769,0,1219
MPI_Finalize(),3.2,519,519,1,0,519380
MPI_Init(),2.6,422,422,1,0,422210
MPI_Wait(),2.3,370,370,6782.62,0,55
void_CommSyncPosVel(Domain,1.7,45,275,256,2128,1076
void_CommMonoQ(Domain,0.6,18,90,256,1408,355
void_CommSBN(Domain,0.5,15,82,257,4015.62,321
MPI_Isend(),0.2,31,31,6782.62,0,5
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.1,12,20,1,32774,20949
void_CommRecv(Domain,0.0,2,7,769,7551.62,10
MPI_Irecv(),0.0,5,5,6782.62,0,1
MPI_Comm_rank(),0.0,1,1,2309,0,0
MPI_Reduce(),0.0,0.674,0.674,1,0,674
MPI_Barrier(),0.0,0.631,0.631,1,0,631
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,0.522,0.522,1,0,522
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,0.437,0.438,1,1,438
void_Domain::SetupCommBuffers(Int_t),0.0,0.356,0.356,1,0,356
void_Domain::SetupElementConnectivities(Int_t),0.0,0.254,0.254,1,0,254
void_Domain::~Domain(),0.0,0.105,0.105,1,0,105
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.0522,0.0522,1,0,52
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0104,0.0104,1,0,10
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00294,0.00492,1,2,5
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00281,0.00281,1,0,3
StrToInt,0.0,0.00198,0.00198,2,0,1
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.00155,0.00155,0.015625,0,99
MPI_Comm_size(),0.0,0.000391,0.000391,1,0,0
