Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00356,1:06.693,1,1,66693482
int_main(int_char_**),100.0,36,503,1:06.693,1,1420,66693479
void_CalcKinematicsForElems(Domain,17.9,7,006,11,948,128,3.35544E+07,93348
MPI_Allreduce(),13.5,9,018,9,018,127,0,71012
void_CommSend(Domain,7.9,211,5,274,385,5094.72,13699
MPI_Waitall(),7.5,4,987,4,987,385,0,12954
Real_t_CalcElemVolume(const,7.5,4,982,4,982,3.38166E+07,0,0
MPI_Wait(),3.6,2,409,2,409,4324.72,0,557
void_CommSyncPosVel(Domain,2.4,272,1,622,128,1343.81,12676
void_CommSBN(Domain,1.6,63,1,039,129,2579.62,8059
MPI_Init(),0.8,516,516,1,0,516718
MPI_Finalize(),0.7,464,464,1,0,464847
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.2,89,142,1,262150,142891
void_CommMonoQ(Domain,0.2,48,132,128,786.286,1037
MPI_Isend(),0.1,75,75,4324.72,0,17
MPI_Reduce(),0.0,10,10,1,0,10986
MPI_Barrier(),0.0,9,9,1,0,9895
void_CommRecv(Domain,0.0,1,7,385,4709.72,20
MPI_Irecv(),0.0,5,5,4324.72,0,1
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,4,4,1,0,4488
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,3,3,1,1,3250
void_Domain::SetupElementConnectivities(Int_t),0.0,2,2,1,0,2118
void_Domain::SetupCommBuffers(Int_t),0.0,1,1,1,0,1227
void_Domain::SetupBoundaryConditions(Int_t),0.0,1,1,1,0,1019
MPI_Comm_rank(),0.0,0.847,0.847,1157,0,1
void_Domain::~Domain(),0.0,0.297,0.297,1,0,297
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0115,0.0115,1,0,12
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00875,0.00875,1,0,9
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00158,0.00346,1,2,3
StrToInt,0.0,0.00188,0.00188,2,0,1
MPI_Comm_size(),0.0,0.000443,0.000443,1,0,0
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.000283,0.000283,0.00291545,0,97
