Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00358,1,824,1,1,1824559
int_main(int_char_**),100.0,228,1,824,1,188.016,1824555
MPI_Finalize(),50.4,920,920,1,0,920102
MPI_Init(),23.0,418,418,1,0,418744
void_CalcKinematicsForElems(Domain,4.7,50,84,16,221184,5308
MPI_Allreduce(),4.2,76,76,15,0,5071
void_CommSend(Domain,3.2,2,59,49,535.625,1208
MPI_Waitall(),2.9,52,52,49,0,1069
Real_t_CalcElemVolume(const,2.0,37,37,235008,0,0
MPI_Wait(),1.3,23,23,437.625,0,54
void_CommSyncPosVel(Domain,0.7,1,12,16,133,754
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.5,5,9,1,13830,9084
void_CommMonoQ(Domain,0.5,0.605,8,16,88,523
void_CommSBN(Domain,0.3,0.539,5,17,265.625,332
MPI_Isend(),0.3,4,4,437.625,0,11
MPI_Reduce(),0.0,0.896,0.896,1,0,896
MPI_Barrier(),0.0,0.551,0.551,1,0,551
void_CommRecv(Domain,0.0,0.119,0.455,49,486.625,9
MPI_Irecv(),0.0,0.322,0.322,437.625,0,1
void_Domain::SetupCommBuffers(Int_t),0.0,0.216,0.216,1,0,216
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,0.192,0.192,1,0,192
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,0.19,0.19,1,1,190
void_Domain::SetupElementConnectivities(Int_t),0.0,0.103,0.103,1,0,103
MPI_Comm_rank(),0.0,0.0462,0.0462,149,0,0
void_Domain::~Domain(),0.0,0.0351,0.0351,1,0,35
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.0214,0.0214,1,0,21
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0106,0.0106,1,0,11
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00289,0.00487,1,2,5
StrToInt,0.0,0.00198,0.00198,2,0,1
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.0018,0.0018,1,0,2
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.00161,0.00161,0.015625,0,103
MPI_Comm_size(),0.0,0.000516,0.000516,1,0,1
