Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00391,18,397,1,1,18397922
int_main(int_char_**),100.0,8,553,18,397,1,2828.01,18397918
MPI_Allreduce(),16.6,3,050,3,050,255,0,11963
void_CalcKinematicsForElems(Domain,16.4,1,770,3,011,256,8.38861E+06,11765
void_CommSend(Domain,8.4,83,1,539,769,9148.56,2002
MPI_Waitall(),7.7,1,423,1,423,769,0,1851
Real_t_CalcElemVolume(const,6.8,1,247,1,247,8.42138E+06,0,0
MPI_Finalize(),5.4,994,994,1,0,994932
MPI_Wait(),3.9,712,712,7610.56,0,94
void_CommSyncPosVel(Domain,2.8,54,519,256,2377.73,2027
MPI_Init(),2.2,408,408,1,0,408093
void_CommMonoQ(Domain,1.0,19,182,256,1484.8,712
void_CommSBN(Domain,0.6,18,104,257,4517.03,406
MPI_Isend(),0.2,32,32,7610.56,0,4
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.1,13,21,1,32774,21707
void_CommRecv(Domain,0.0,2,8,769,8379.56,11
MPI_Irecv(),0.0,6,6,7610.56,0,1
MPI_Reduce(),0.0,2,2,1,0,2668
MPI_Comm_rank(),0.0,1,1,2309,0,0
MPI_Barrier(),0.0,0.739,0.739,1,0,739
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,0.545,0.545,1,0,545
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,0.445,0.446,1,1,446
void_Domain::SetupCommBuffers(Int_t),0.0,0.388,0.388,1,0,388
void_Domain::SetupElementConnectivities(Int_t),0.0,0.256,0.256,1,0,256
void_Domain::~Domain(),0.0,0.109,0.109,1,0,109
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.0545,0.0545,1,0,54
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0109,0.0109,1,0,11
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00179,0.0037,1,2,4
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00275,0.00275,1,0,3
StrToInt,0.0,0.00191,0.00191,2,0,1
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.000688,0.000688,0.008,0,86
MPI_Comm_size(),0.0,0.000464,0.000464,1,0,0
