%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive,Name
100.0,0.00561,1,725,1,1,1725667,.TAU_application
100.0,0.617,1,725,1,1334,1725661,CG
30.2,113,520,101,102414,5154,CONJ_GRAD
28.9,0.0502,498,1,3.00391,498230,INITIALIZE_MPI
28.8,497,497,1,0,497407,MPI_Init()
23.0,397,397,1,0,397752,MPI_Finalize()
17.8,9,307,1,60001,307303,MAKEA
16.9,136,292,30000,1.18017E+06,10,SPRNVC
16.1,278,278,34542,0,8,MPI_Wait()
6.8,117,117,34542,0,3,MPI_Send()
6.0,104,104,786783,0,0,RANDLC
3.0,51,51,393391,0,0,ICNVRT
0.7,11,11,34542,0,0,MPI_Irecv()
0.3,4,4,30000,0,0,VECSET
0.0,0.745,0.745,1,0,745,MPI_Bcast()
0.0,0.674,0.674,1,0,674,SPARSE
0.0,0.315,0.315,1,0,315,MPI_Barrier()
0.0,0.113,0.113,1,0,113,MPI_Reduce()
0.0,0.0565,0.0565,1,0,57,ALLOC_SPACE
0.0,0.0257,0.0263,1,2,26,GET_ACTIVE_NPROCS
0.0,0.0228,0.0228,1,0,23,TIMER_START
0.0,0.0017,0.0017,0.00390625,0,436,CHECK_TIMER_FLAG
0.0,0.00151,0.00151,9,0,0,TIMER_CLEAR
0.0,0.000789,0.000789,1,0,1,TIMER_STOP
0.0,0.0005,0.0005,0.00390625,0,128,PRINT_RESULTS
0.0,0.00041,0.00041,1,0,0,SETUP_SUBMATRIX_INFO
0.0,0.000336,0.000336,1,0,0,MPI_Comm_size()
0.0,0.000254,0.000254,1,0,0,SETUP_PROC_INFO
0.0,0.000223,0.000223,1,0,0,MPI_Comm_rank()
0.0,0.00016,0.00016,1,0,0,TIMER_READ
