%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive,Name
100.0,0.00587,1,105,1,1,1105172,.TAU_application
100.0,0.272,1,105,1,58.0117,1105167,MG_MPI
50.2,554,554,1,0,554834,MPI_Init()
47.2,521,521,1,0,521240,MPI_Finalize()
1.3,0.0773,14,5,180,2841,MG3P
1.1,0.324,11,119,1786.06,99,COMM3
0.8,3,8,42,42,206,RESID
0.6,1,6,2,4646.88,3253,ZRAN3
0.5,5,5,608.375,0,9,MPI_Wait()
0.4,0.637,4,588.375,588.375,8,TAKE3
0.4,1,4,40,40,114,PSINV
0.4,0.632,3,588.375,588.375,7,GIVE3
0.3,3,3,608.375,0,5,MPI_Send()
0.3,3,3,6,0,516,MPI_Barrier()
0.3,0.491,2,35,35,79,RPRJ3
0.2,2,2,608.375,608.375,4,READY
0.2,2,2,88,0,25,MPI_Allreduce()
0.2,0.564,1,35,35,54,INTERP
0.1,0.0246,1,35,60,37,COMM3_EX
0.1,0.00961,1,20,20,57,TAKE3_EX
0.1,1,1,7,0,152,MPI_Bcast()
0.1,1,1,59.9375,0,17,ZERO3
0.1,0.38,0.904,4,8,226,NORM2U3
0.1,0.561,0.561,2048,0,0,VRANLC
0.0,0.366,0.366,2222.55,0,0,RANDLC
0.0,0.34,0.34,608.375,0,1,MPI_Irecv()
0.0,0.192,0.192,2,0,96,TIMER_START
0.0,0.0737,0.0737,390.875,0,0,BUBBLE
0.0,0.00974,0.0623,20,20,3,GIVE3_EX
0.0,0.0183,0.0358,6,108.555,6,POWER
0.0,0.0299,0.0305,1,2,31,GET_ACTIVE_NPROCS
0.0,0.0272,0.0272,1,0,27,ALLOC_SPACE
0.0,0.0142,0.0142,1,0,14,MPI_Reduce()
0.0,0.0117,0.0117,2,0,6,SETUP
0.0,0.00289,0.00289,17,0,0,TIMER_CLEAR
0.0,0.00188,0.00188,0.00390625,0,481,CHECK_TIMER_FLAG
0.0,0.00128,0.00128,2,0,1,TIMER_STOP
0.0,0.000621,0.000621,0.00390625,0,159,PRINT_RESULTS
0.0,0.000371,0.000371,1,0,0,MPI_Comm_size()
0.0,0.000207,0.000207,1,0,0,MPI_Comm_rank()
0.0,0.000191,0.000191,1.00391,0,0,TIMER_READ
