%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive,Name
100.0,0.00675,1,850,1,1,1850757,.TAU_application
100.0,1,1,850,1,658.125,1850750,CG
47.3,686,875,91,49686,9625,CONJ_GRAD
25.5,471,471,1,0,471578,MPI_Finalize()
17.7,0.0283,326,1,3.125,326737,INITIALIZE_MPI
17.6,326,326,1,0,326212,MPI_Init()
9.4,9,174,1,28001,174552,MAKEA
8.3,72,154,14000,590394,11,SPRNVC
5.8,107,107,16744,0,6,MPI_Wait()
4.0,73,73,16744,0,4,MPI_Send()
2.9,54,54,393597,0,0,RANDLC
1.5,27,27,196798,0,0,ICNVRT
0.5,9,9,1,0,9084,SPARSE
0.5,8,8,16744,0,1,MPI_Irecv()
0.1,2,2,14000,0,0,VECSET
0.0,0.581,0.581,1,0,581,ALLOC_SPACE
0.0,0.428,0.428,1,0,428,MPI_Bcast()
0.0,0.114,0.114,1,0,114,MPI_Barrier()
0.0,0.0519,0.0519,1,0,52,MPI_Reduce()
0.0,0.0473,0.0473,0.125,0,378,CHECK_TIMER_FLAG
0.0,0.0204,0.021,1,2,21,GET_ACTIVE_NPROCS
0.0,0.0163,0.0163,0.125,0,130,PRINT_RESULTS
0.0,0.0035,0.0035,1,0,4,TIMER_START
0.0,0.0015,0.0015,9,0,0,TIMER_CLEAR
0.0,0.00075,0.00075,1,0,1,TIMER_STOP
0.0,0.000625,0.000625,1,0,1,SETUP_PROC_INFO
0.0,0.000375,0.000375,1,0,0,MPI_Comm_size()
0.0,0.000375,0.000375,1,0,0,SETUP_SUBMATRIX_INFO
0.0,0.00025,0.00025,1,0,0,MPI_Comm_rank()
0.0,0.000125,0.000125,1,0,0,TIMER_READ
