%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive,Name
100.0,0.00613,1,418,1,1,1418036,.TAU_application
100.0,0.458,1,418,1,781.016,1418030,CG
35.5,503,503,1,0,503553,MPI_Finalize()
25.0,0.0364,354,1,3.01562,354707,INITIALIZE_MPI
24.9,353,353,1,0,353745,MPI_Init()
23.2,165,328,76,59280,4322,CONJ_GRAD
16.2,7,230,1,28001,230126,MAKEA
15.4,101,218,14000,884640,16,SPRNVC
6.8,96,96,19988,0,5,MPI_Wait()
5.5,78,78,589761,0,0,RANDLC
4.3,61,61,19988,0,3,MPI_Send()
2.7,38,38,294880,0,0,ICNVRT
0.4,5,5,19988,0,0,MPI_Irecv()
0.1,2,2,14000,0,0,VECSET
0.1,1,1,1,0,1737,SPARSE
0.1,0.892,0.892,1,0,892,MPI_Bcast()
0.0,0.223,0.223,1,0,223,MPI_Barrier()
0.0,0.0526,0.0526,1,0,53,ALLOC_SPACE
0.0,0.0488,0.0488,1,0,49,MPI_Reduce()
0.0,0.0243,0.0248,1,2,25,GET_ACTIVE_NPROCS
0.0,0.0083,0.0083,0.015625,0,531,CHECK_TIMER_FLAG
0.0,0.0083,0.0083,1,0,8,TIMER_START
0.0,0.00203,0.00203,0.015625,0,130,PRINT_RESULTS
0.0,0.00127,0.00127,9,0,0,TIMER_CLEAR
0.0,0.000547,0.000547,1,0,1,TIMER_STOP
0.0,0.000328,0.000328,1,0,0,MPI_Comm_size()
0.0,0.000281,0.000281,1,0,0,SETUP_SUBMATRIX_INFO
0.0,0.000188,0.000188,1,0,0,MPI_Comm_rank()
0.0,0.000188,0.000188,1,0,0,SETUP_PROC_INFO
0.0,7.81E-05,7.81E-05,1,0,0,TIMER_READ
