Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.0035,3,300,1,1,3300142
int_main(int_char_**),100.0,887,3,300,1,716.008,3300138
MPI_Finalize(),23.0,759,759,1,0,759319
MPI_Allreduce(),14.6,483,483,63,0,7673
MPI_Init(),13.4,441,441,1,0,441469
void_CalcKinematicsForElems(Domain,9.8,191,323,64,884736,5058
void_CommSend(Domain,6.4,8,212,193,2301.07,1102
MPI_Waitall(),5.9,194,194,193,0,1008
MPI_Wait(),5.2,170,170,1915.07,0,89
Real_t_CalcElemVolume(const,4.1,135,135,898560,0,0
void_CommSyncPosVel(Domain,2.4,5,78,64,594.432,1226
void_CommMonoQ(Domain,2.2,2,73,64,371.2,1147
void_CommSBN(Domain,0.9,2,28,65,1142.44,443
MPI_Isend(),0.3,9,9,1915.07,0,5
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.3,5,8,1,13830,8565
void_CommRecv(Domain,0.1,0.473,1,193,2108.07,9
MPI_Irecv(),0.0,1,1,1915.07,0,1
MPI_Barrier(),0.0,0.663,0.663,1,0,663
MPI_Reduce(),0.0,0.512,0.512,1,0,512
void_Domain::SetupCommBuffers(Int_t),0.0,0.219,0.219,1,0,219
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,0.19,0.19,1,0,190
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,0.186,0.187,1,1,187
MPI_Comm_rank(),0.0,0.169,0.169,581,0,0
void_Domain::SetupElementConnectivities(Int_t),0.0,0.106,0.106,1,0,106
void_Domain::~Domain(),0.0,0.0446,0.0446,1,0,45
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.0222,0.0222,1,0,22
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0107,0.0107,1,0,11
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00166,0.0035,1,2,3
StrToInt,0.0,0.00184,0.00184,2,0,1
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00174,0.00174,1,0,2
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.000792,0.000792,0.008,0,99
MPI_Comm_size(),0.0,0.000472,0.000472,1,0,0
