"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00578","10,459","1","1",".TAU_application"
"100.0","4","10,459","1","1031.03","CG"
"64.2","3,882","6,713","101","78780","CONJ_GRAD"
"25.4","67","2,654","1","300001","MAKEA"
"24.1","1,189","2,523","150000","1.02363E+07","SPRNVC"
"14.9","1,556","1,556","26563","0","MPI_Wait()"
"11.9","1,245","1,245","26563","0","MPI_Send()"
"8.5","891","891","6.82419E+06","0","RANDLC"
"7.4","768","768","1","0","MPI_Finalize()"
"4.2","442","442","3.4121E+06","0","ICNVRT"
"3.0","0.04","315","1","3.03125","INITIALIZE_MPI"
"3.0","314","314","1","0","MPI_Init()"
"0.4","41","41","1","0","SPARSE"
"0.3","30","30","26563","0","MPI_Irecv()"
"0.2","21","21","150000","0","VECSET"
"0.0","2","2","1","0","ALLOC_SPACE"
"0.0","0.85","0.85","1","0","MPI_Bcast()"
"0.0","0.189","0.189","1","0","MPI_Barrier()"
"0.0","0.0558","0.0558","1","0","MPI_Reduce()"
"0.0","0.0292","0.0298","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0155","0.0155","0.03125","0","CHECK_TIMER_FLAG"
"0.0","0.00834","0.00834","1","0","TIMER_START"
"0.0","0.00619","0.00619","0.03125","0","PRINT_RESULTS"
"0.0","0.00144","0.00144","9","0","TIMER_CLEAR"
"0.0","0.000906","0.000906","1","0","TIMER_STOP"
"0.0","0.000469","0.000469","1","0","SETUP_SUBMATRIX_INFO"
"0.0","0.000406","0.000406","1","0","TIMER_READ"
"0.0","0.000344","0.000344","1","0","MPI_Comm_rank()"
"0.0","0.000313","0.000313","1","0","MPI_Comm_size()"
"0.0","0.000281","0.000281","1","0","SETUP_PROC_INFO"
