%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive,Name
100.0,0.006,1,816,1,1,1816985,.TAU_application
100.0,0.916,1,816,1,238.125,1816979,CG
34.0,497,616,31,16926,19902,CONJ_GRAD
31.3,569,569,1,0,569176,MPI_Finalize()
18.2,0.0278,330,1,3.125,330208,INITIALIZE_MPI
18.1,329,329,1,0,329671,MPI_Init()
16.4,14,297,1,60001,297321,MAKEA
14.3,122,260,30000,1.08172E+06,9,SPRNVC
5.1,91,91,721149,0,0,RANDLC
3.6,66,66,5704,0,12,MPI_Wait()
2.6,47,47,5704,0,8,MPI_Send()
2.5,45,45,360574,0,0,ICNVRT
1.0,18,18,1,0,18388,SPARSE
0.3,5,5,5704,0,1,MPI_Irecv()
0.2,4,4,30000,0,0,VECSET
0.1,2,2,1,0,2119,ALLOC_SPACE
0.0,0.442,0.442,1,0,442,MPI_Bcast()
0.0,0.12,0.12,1,0,120,MPI_Barrier()
0.0,0.0504,0.0504,1,0,50,MPI_Reduce()
0.0,0.0457,0.0457,0.125,0,366,CHECK_TIMER_FLAG
0.0,0.0254,0.0254,0.125,0,203,PRINT_RESULTS
0.0,0.0213,0.0219,1,2,22,GET_ACTIVE_NPROCS
0.0,0.003,0.003,1,0,3,TIMER_START
0.0,0.00125,0.00125,9,0,0,TIMER_CLEAR
0.0,0.00075,0.00075,1,0,1,TIMER_STOP
0.0,0.000375,0.000375,1,0,0,MPI_Comm_rank()
0.0,0.000375,0.000375,1,0,0,SETUP_SUBMATRIX_INFO
0.0,0.00025,0.00025,1,0,0,MPI_Comm_size()
0.0,0.00025,0.00025,1,0,0,SETUP_PROC_INFO
0.0,0,0,1,0,0,TIMER_READ
