"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00569","41,656","1","1",".TAU_application"
"100.0","26","41,656","1","1009","CG"
"54.8","11,653","22,840","76","77064","CONJ_GRAD"
"42.6","442","17,732","1","3E+06","MAKEA"
"40.9","8,439","17,033","1.5E+06","6.92175E+07","SPRNVC"
"13.8","5,734","5,734","4.6145E+07","0","RANDLC"
"13.3","5,543","5,543","25992","0","MPI_Send()"
"13.2","5,483","5,483","25992","0","MPI_Wait()"
"6.9","2,858","2,858","2.30725E+07","0","ICNVRT"
"1.3","0.035","526","1","3.00391","INITIALIZE_MPI"
"1.3","525","525","1","0","MPI_Init()"
"1.2","520","520","1","0","MPI_Finalize()"
"0.5","204","204","1.5E+06","0","VECSET"
"0.4","164","164","25992","0","MPI_Irecv()"
"0.1","52","52","1","0","SPARSE"
"0.0","4","4","1","0","ALLOC_SPACE"
"0.0","1","1","1","0","MPI_Barrier()"
"0.0","1","1","1","0","MPI_Bcast()"
"0.0","0.0693","0.0693","1","0","MPI_Reduce()"
"0.0","0.0271","0.0277","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0256","0.0256","1","0","TIMER_START"
"0.0","0.00245","0.00245","0.00390625","0","CHECK_TIMER_FLAG"
"0.0","0.0016","0.0016","9","0","TIMER_CLEAR"
"0.0","0.000969","0.000969","1","0","TIMER_STOP"
"0.0","0.000703","0.000703","1","0","SETUP_SUBMATRIX_INFO"
"0.0","0.000457","0.000457","0.00390625","0","PRINT_RESULTS"
"0.0","0.000313","0.000313","1","0","MPI_Comm_size()"
"0.0","0.000281","0.000281","1","0","SETUP_PROC_INFO"
"0.0","0.000266","0.000266","1","0","MPI_Comm_rank()"
"0.0","0.000191","0.000191","1","0","TIMER_READ"
