Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00352,31,329,1,1,31329367
int_main(int_char_**),100.0,13,706,31,329,1,1420.01,31329363
MPI_Allreduce(),17.2,5,394,5,394,127,0,42479
void_CalcKinematicsForElems(Domain,16.4,3,018,5,127,128,1.41558E+07,40062
void_CommSend(Domain,12.5,102,3,920,385,4583.57,10184
MPI_Waitall(),12.1,3,778,3,778,385,0,9814
Real_t_CalcElemVolume(const,6.8,2,130,2,130,1.42664E+07,0,0
MPI_Wait(),5.5,1,727,1,727,3813.57,0,453
void_CommSyncPosVel(Domain,3.4,126,1,053,128,1188.86,8232
MPI_Finalize(),2.3,723,723,1,0,723827
void_CommSBN(Domain,2.3,29,719,129,2267.3,5575
MPI_Init(),1.5,472,472,1,0,472126
void_CommMonoQ(Domain,0.4,21,133,128,742.4,1040
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.2,42,68,1,110598,68079
MPI_Isend(),0.1,39,39,3813.57,0,10
void_CommRecv(Domain,0.0,1,5,385,4198.57,15
MPI_Irecv(),0.0,4,4,3813.57,0,1
MPI_Reduce(),0.0,2,2,1,0,2612
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,1,1,1,0,1891
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,1,1,1,1,1383
void_Domain::SetupElementConnectivities(Int_t),0.0,0.893,0.893,1,0,893
MPI_Barrier(),0.0,0.821,0.821,1,0,821
void_Domain::SetupCommBuffers(Int_t),0.0,0.792,0.792,1,0,792
MPI_Comm_rank(),0.0,0.721,0.721,1157,0,1
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.26,0.26,1,0,260
void_Domain::~Domain(),0.0,0.157,0.157,1,0,157
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0105,0.0105,1,0,10
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00548,0.00548,1,0,5
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00154,0.00345,1,2,3
StrToInt,0.0,0.0019,0.0019,2,0,1
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.000792,0.000792,0.008,0,99
MPI_Comm_size(),0.0,0.000432,0.000432,1,0,0
