"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00625","16,274","1","1",".TAU_application"
"100.0","4","16,274","1","931.031","CG"
"68.3","8,852","11,115","91","70980","CONJ_GRAD"
"25.1","100","4,084","1","300001","MAKEA"
"23.8","1,799","3,870","150000","1.65225E+07","SPRNVC"
"8.5","1,383","1,383","1.1015E+07","0","RANDLC"
"7.9","1,283","1,283","23933","0","MPI_Send()"
"5.8","939","939","23933","0","MPI_Wait()"
"4.6","744","744","1","0","MPI_Finalize()"
"4.2","687","687","5.50751E+06","0","ICNVRT"
"2.0","0.125","322","1","3.03125","INITIALIZE_MPI"
"2.0","322","322","1","0","MPI_Init()"
"0.6","91","91","1","0","SPARSE"
"0.2","39","39","23933","0","MPI_Irecv()"
"0.1","22","22","150000","0","VECSET"
"0.0","2","2","1","0","ALLOC_SPACE"
"0.0","0.817","0.817","1","0","MPI_Bcast()"
"0.0","0.208","0.208","1","0","MPI_Barrier()"
"0.0","0.056","0.056","1","0","MPI_Reduce()"
"0.0","0.0392","0.0392","1","0","TIMER_START"
"0.0","0.0242","0.0248","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0155","0.0155","0.03125","0","CHECK_TIMER_FLAG"
"0.0","0.00581","0.00581","0.03125","0","PRINT_RESULTS"
"0.0","0.00147","0.00147","9","0","TIMER_CLEAR"
"0.0","0.00106","0.00106","1","0","TIMER_STOP"
"0.0","0.000562","0.000562","1","0","SETUP_SUBMATRIX_INFO"
"0.0","0.000406","0.000406","1","0","MPI_Comm_size()"
"0.0","0.000313","0.000313","1","0","SETUP_PROC_INFO"
"0.0","0.000219","0.000219","1","0","MPI_Comm_rank()"
"0.0","0.000125","0.000125","1","0","TIMER_READ"
