"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00681","1,502","1","1",".TAU_application"
"100.0","0.644","1,502","1","553.062","CG"
"35.9","539","539","1","0","MPI_Finalize()"
"32.1","272","482","76","41496","CONJ_GRAD"
"21.2","0.0292","318","1","3.0625","INITIALIZE_MPI"
"21.1","317","317","1","0","MPI_Init()"
"10.7","8","160","1","28001","MAKEA"
"9.8","69","147","14000","541041","SPRNVC"
"8.4","125","125","13984","0","MPI_Wait()"
"5.3","79","79","13984","0","MPI_Send()"
"3.5","51","51","360695","0","RANDLC"
"1.7","25","25","180347","0","ICNVRT"
"0.3","5","5","13984","0","MPI_Irecv()"
"0.2","2","2","1","0","SPARSE"
"0.1","2","2","14000","0","VECSET"
"0.0","0.631","0.631","1","0","MPI_Bcast()"
"0.0","0.178","0.178","1","0","MPI_Barrier()"
"0.0","0.0561","0.0561","1","0","ALLOC_SPACE"
"0.0","0.0505","0.0505","1","0","MPI_Reduce()"
"0.0","0.0267","0.0267","0.0625","0","CHECK_TIMER_FLAG"
"0.0","0.0213","0.0217","1","2","GET_ACTIVE_NPROCS"
"0.0","0.00806","0.00806","0.0625","0","PRINT_RESULTS"
"0.0","0.00287","0.00287","1","0","TIMER_START"
"0.0","0.00131","0.00131","9","0","TIMER_CLEAR"
"0.0","0.0005","0.0005","1","0","SETUP_SUBMATRIX_INFO"
"0.0","0.0005","0.0005","1","0","TIMER_STOP"
"0.0","0.000375","0.000375","1","0","MPI_Comm_size()"
"0.0","0.000188","0.000188","1","0","TIMER_READ"
"0.0","6.25E-05","6.25E-05","1","0","MPI_Comm_rank()"
"0.0","6.25E-05","6.25E-05","1","0","SETUP_PROC_INFO"
