Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00366,38,139,1,1,38139392
int_main(int_char_**),100.0,25,136,38,139,1,100.008,38139388
void_CalcKinematicsForElems(Domain,15.9,3,589,6,070,8,1.67772E+07,758855
Real_t_CalcElemVolume(const,7.3,2,788,2,788,1.88744E+07,0,0
MPI_Allreduce(),6.6,2,507,2,507,7,0,358162
MPI_Finalize(),2.9,1,100,1,100,1,0,1100544
void_CommSend(Domain,2.9,53,1,094,25,303.888,43773
MPI_Waitall(),2.6,995,995,25,0,39821
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),2.4,524,930,1,2.09716E+06,930117
MPI_Wait(),1.8,679,679,253.888,0,2676
void_CommSBN(Domain,1.1,18,407,9,158.184,45252
MPI_Init(),1.0,392,392,1,0,392315
void_CommSyncPosVel(Domain,0.8,77,320,8,74.304,40028
MPI_Reduce(),0.2,73,73,1,0,73172
void_CommMonoQ(Domain,0.2,9,57,8,46.4,7212
MPI_Barrier(),0.1,47,47,1,0,47036
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.1,46,46,1,0,46354
MPI_Isend(),0.1,45,45,253.888,0,180
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.1,22,22,1,1,22172
void_Domain::SetupElementConnectivities(Int_t),0.0,18,18,1,0,18909
void_Domain::SetupBoundaryConditions(Int_t),0.0,6,6,1,0,6817
void_Domain::SetupCommBuffers(Int_t),0.0,4,4,1,0,4149
void_Domain::~Domain(),0.0,1,1,1,0,1118
void_CommRecv(Domain,0.0,0.126,0.727,25,278.888,29
MPI_Irecv(),0.0,0.576,0.576,253.888,0,2
MPI_Comm_rank(),0.0,0.0785,0.0785,77,0,1
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.0332,0.0332,1,0,33
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0107,0.0107,1,0,11
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00176,0.00374,1,2,4
StrToInt,0.0,0.00198,0.00198,2,0,1
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.00101,0.00101,0.008,0,126
MPI_Comm_size(),0.0,0.000496,0.000496,1,0,0
