%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive,Name
100.0,0.00628,1,456,1,1,1456029,.TAU_application
100.0,0.322,1,456,1,181.016,1456023,CG
39.1,569,569,1,0,569221,MPI_Finalize()
23.6,12,343,1,60001,343452,MAKEA
22.8,0.0385,332,1,3.01562,332111,INITIALIZE_MPI
22.8,331,331,1,0,331354,MPI_Init()
22.2,151,323,30000,1.27857E+06,11,SPRNVC
14.5,50,210,16,12480,13152,CONJ_GRAD
8.9,129,129,4208,0,31,MPI_Wait()
7.9,114,114,852381,0,0,RANDLC
3.9,57,57,426190,0,0,ICNVRT
2.0,29,29,4208,0,7,MPI_Send()
0.3,4,4,30000,0,0,VECSET
0.2,2,2,1,0,2403,SPARSE
0.1,1,1,4208,0,0,MPI_Irecv()
0.0,0.685,0.685,1,0,685,MPI_Bcast()
0.0,0.257,0.257,1,0,257,MPI_Barrier()
0.0,0.065,0.065,1,0,65,ALLOC_SPACE
0.0,0.0462,0.0462,1,0,46,MPI_Reduce()
0.0,0.0264,0.027,1,2,27,GET_ACTIVE_NPROCS
0.0,0.00789,0.00789,1,0,8,TIMER_START
0.0,0.00673,0.00673,0.015625,0,431,CHECK_TIMER_FLAG
0.0,0.00194,0.00194,0.015625,0,124,PRINT_RESULTS
0.0,0.00152,0.00152,9,0,0,TIMER_CLEAR
0.0,0.000516,0.000516,1,0,1,TIMER_STOP
0.0,0.000438,0.000438,1,0,0,SETUP_SUBMATRIX_INFO
0.0,0.000328,0.000328,1,0,0,MPI_Comm_size()
0.0,0.000234,0.000234,1,0,0,MPI_Comm_rank()
0.0,0.000188,0.000188,1,0,0,SETUP_PROC_INFO
0.0,0.000172,0.000172,1,0,0,TIMER_READ
