Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00373,1,236,1,1,1236614
int_main(int_char_**),100.0,35,1,236,1,100.008,1236610
MPI_Init(),52.9,654,654,1,0,654088
MPI_Finalize(),39.7,490,490,1,0,490383
MPI_Allreduce(),1.4,17,17,7,0,2533
void_CommSend(Domain,1.3,0.561,16,25,303.888,656
void_CalcKinematicsForElems(Domain,1.2,9,15,8,32768,1913
MPI_Waitall(),1.1,13,13,25,0,542
Real_t_CalcElemVolume(const,0.6,7,7,36864,0,0
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.2,1,2,1,4102,2717
MPI_Wait(),0.2,2,2,253.888,0,10
MPI_Isend(),0.2,2,2,253.888,0,9
void_CommMonoQ(Domain,0.2,0.135,1,8,46.4,250
void_CommSBN(Domain,0.1,0.169,0.703,9,158.184,78
MPI_Barrier(),0.0,0.589,0.589,1,0,589
void_CommSyncPosVel(Domain,0.0,0.262,0.48,8,74.304,60
MPI_Reduce(),0.0,0.354,0.354,1,0,354
void_CommRecv(Domain,0.0,0.0653,0.228,25,278.888,9
MPI_Irecv(),0.0,0.157,0.157,253.888,0,1
void_Domain::SetupCommBuffers(Int_t),0.0,0.115,0.115,1,0,115
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,0.0607,0.0611,1,1,61
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,0.037,0.037,1,0,37
void_Domain::SetupElementConnectivities(Int_t),0.0,0.0271,0.0271,1,0,27
MPI_Comm_rank(),0.0,0.0215,0.0215,77,0,0
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0105,0.0105,1,0,11
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.0079,0.0079,1,0,8
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00169,0.00363,1,2,4
StrToInt,0.0,0.00194,0.00194,2,0,1
void_Domain::~Domain(),0.0,0.00178,0.00178,1,0,2
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00108,0.00108,1,0,1
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.000704,0.000704,0.008,0,88
MPI_Comm_size(),0.0,0.000448,0.000448,1,0,0
