Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00344,11,105,1,1,11105172
int_main(int_char_**),100.0,3,531,11,105,1,364.037,11105168
MPI_Finalize(),45.5,5,055,5,055,1,0,5055262
void_CalcKinematicsForElems(Domain,11.2,728,1,246,32,3.53894E+06,38968
MPI_Init(),5.0,556,556,1,0,556412
Real_t_CalcElemVolume(const,4.8,536,536,3.64954E+06,0,0
MPI_Allreduce(),2.8,305,305,31,0,9864
void_CommSend(Domain,1.9,25,211,97,895.481,2183
MPI_Waitall(),1.6,182,182,97,0,1883
MPI_Wait(),0.8,87,87,701.481,0,124
void_CommSBN(Domain,0.6,8,62,33,419.222,1895
void_CommSyncPosVel(Domain,0.5,27,60,32,219.259,1886
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.5,36,59,1,110598,59854
MPI_Barrier(),0.1,6,6,1,0,6421
void_CommMonoQ(Domain,0.0,4,4,32,160,150
MPI_Isend(),0.0,2,2,701.481,0,4
MPI_Reduce(),0.0,2,2,1,0,2313
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,2,2,1,0,2207
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,1,1,1,1,1302
void_CommRecv(Domain,0.0,0.305,1,97,798.481,12
void_Domain::SetupElementConnectivities(Int_t),0.0,1,1,1,0,1034
MPI_Irecv(),0.0,0.816,0.816,701.481,0,1
void_Domain::SetupCommBuffers(Int_t),0.0,0.608,0.608,1,0,608
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.281,0.281,1,0,281
MPI_Comm_rank(),0.0,0.207,0.207,293,0,1
void_Domain::~Domain(),0.0,0.0681,0.0681,1,0,68
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.01,0.01,1,0,10
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00559,0.00559,1,0,6
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00189,0.0037,1,2,4
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.00333,0.00333,0.037037,0,90
StrToInt,0.0,0.00181,0.00181,2,0,1
MPI_Comm_size(),0.0,0.000333,0.000333,1,0,0
