%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive,Name
100.0,0.00616,2,036,1,1,2036493,.TAU_application
100.0,0.963,2,036,1,1031.03,2036487,CG
46.5,603,947,101,78780,9377,CONJ_GRAD
20.4,414,414,1,0,414664,MPI_Finalize()
17.5,13,355,1,60001,355743,MAKEA
16.3,154,331,30000,1.3767E+06,11,SPRNVC
15.6,0.0302,316,1,3.03125,316736,INITIALIZE_MPI
15.5,316,316,1,0,316039,MPI_Init()
9.4,190,190,26563,0,7,MPI_Wait()
7.0,141,141,26563,0,5,MPI_Send()
5.8,118,118,917799,0,0,RANDLC
2.9,59,59,458899,0,0,ICNVRT
0.6,11,11,26563,0,0,MPI_Irecv()
0.3,5,5,1,0,5561,SPARSE
0.2,4,4,30000,0,0,VECSET
0.0,0.631,0.631,1,0,631,MPI_Bcast()
0.0,0.569,0.569,1,0,569,ALLOC_SPACE
0.0,0.166,0.166,1,0,166,MPI_Barrier()
0.0,0.0515,0.0515,1,0,52,MPI_Reduce()
0.0,0.0235,0.024,1,2,24,GET_ACTIVE_NPROCS
0.0,0.0118,0.0118,0.03125,0,376,CHECK_TIMER_FLAG
0.0,0.00534,0.00534,0.03125,0,171,PRINT_RESULTS
0.0,0.00306,0.00306,1,0,3,TIMER_START
0.0,0.00166,0.00166,9,0,0,TIMER_CLEAR
0.0,0.000594,0.000594,1,0,1,TIMER_STOP
0.0,0.000438,0.000438,1,0,0,SETUP_SUBMATRIX_INFO
0.0,0.000344,0.000344,1,0,0,MPI_Comm_size()
0.0,0.000313,0.000313,1,0,0,SETUP_PROC_INFO
0.0,0.000281,0.000281,1,0,0,TIMER_READ
0.0,0.000156,0.000156,1,0,0,MPI_Comm_rank()
