Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00421,18,653,1,1,18653166
int_main(int_char_**),100.0,1,101,18,653,1,2828,18653161
MPI_Allreduce(),45.0,8,387,8,387,255,0,32892
MPI_Wait(),25.0,4,666,4,666,8195.74,0,569
void_CommSend(Domain,11.5,18,2,143,769,9733.74,2787
MPI_Waitall(),11.2,2,095,2,095,769,0,2725
void_CommSBN(Domain,11.0,6,2,056,257,4873.48,8003
void_CommMonoQ(Domain,7.1,4,1,317,256,1536,5148
void_CommSyncPosVel(Domain,7.0,10,1,313,256,2555.26,5133
MPI_Finalize(),5.8,1,076,1,076,1,0,1076500
MPI_Init(),3.4,641,641,1,0,641795
void_CalcKinematicsForElems(Domain,2.8,315,529,256,1.04858E+06,2069
Real_t_CalcElemVolume(const,1.2,214,214,1.05267E+06,0,0
MPI_Barrier(),0.4,71,71,1,0,71440
MPI_Isend(),0.2,28,28,8195.74,0,4
void_CommRecv(Domain,0.0,2,7,769,8964.74,10
MPI_Irecv(),0.0,5,5,8195.74,0,1
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.0,1,2,1,4102,2731
MPI_Reduce(),0.0,1,1,1,0,1925
MPI_Comm_rank(),0.0,0.738,0.738,2309,0,0
void_Domain::SetupCommBuffers(Int_t),0.0,0.117,0.117,1,0,117
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,0.0617,0.0622,1,1,62
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,0.0358,0.0358,1,0,36
void_Domain::SetupElementConnectivities(Int_t),0.0,0.0267,0.0267,1,0,27
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0119,0.0119,1,0,12
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.00776,0.00776,1,0,8
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00191,0.00406,1,2,4
StrToInt,0.0,0.00215,0.00215,2,0,1
void_Domain::~Domain(),0.0,0.00197,0.00197,1,0,2
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00107,0.00107,1,0,1
MPI_Comm_size(),0.0,0.000468,0.000468,1,0,0
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.000356,0.000356,0.00462963,0,77
