"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00653","10,402","1","1",".TAU_application"
"100.0","3","10,402","1","1031.02","CG"
"56.1","3,559","5,837","101","78780","CONJ_GRAD"
"33.1","79","3,439","1","300001","MAKEA"
"31.8","1,538","3,308","150000","1.41613E+07","SPRNVC"
"12.4","1,293","1,293","26563","0","MPI_Wait()"
"11.4","1,182","1,182","9.4409E+06","0","RANDLC"
"9.2","955","955","26563","0","MPI_Send()"
"7.4","764","764","1","0","MPI_Finalize()"
"5.6","587","587","4.72045E+06","0","ICNVRT"
"3.4","0.0377","354","1","3.01562","INITIALIZE_MPI"
"3.4","353","353","1","0","MPI_Init()"
"0.3","30","30","1","0","SPARSE"
"0.3","28","28","26563","0","MPI_Irecv()"
"0.2","21","21","150000","0","VECSET"
"0.0","2","2","1","0","ALLOC_SPACE"
"0.0","0.629","0.629","1","0","MPI_Bcast()"
"0.0","0.272","0.272","1","0","MPI_Barrier()"
"0.0","0.058","0.058","1","0","MPI_Reduce()"
"0.0","0.0249","0.0255","1","2","GET_ACTIVE_NPROCS"
"0.0","0.00869","0.00869","1","0","TIMER_START"
"0.0","0.0063","0.0063","0.015625","0","CHECK_TIMER_FLAG"
"0.0","0.00222","0.00222","0.015625","0","PRINT_RESULTS"
"0.0","0.00152","0.00152","9","0","TIMER_CLEAR"
"0.0","0.000906","0.000906","1","0","TIMER_STOP"
"0.0","0.000547","0.000547","1","0","SETUP_SUBMATRIX_INFO"
"0.0","0.000375","0.000375","1","0","MPI_Comm_size()"
"0.0","0.000266","0.000266","1","0","MPI_Comm_rank()"
"0.0","0.000203","0.000203","1","0","SETUP_PROC_INFO"
"0.0","0.000156","0.000156","1","0","TIMER_READ"
