%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive,Name
100.0,0.00688,1,776,1,1,1776809,.TAU_application
100.0,0.925,1,776,1,553.125,1776802,CG
43.3,651,770,76,41496,10133,CONJ_GRAD
28.2,501,501,1,0,501095,MPI_Finalize()
18.1,0.0278,322,1,3.125,322261,INITIALIZE_MPI
18.1,321,321,1,0,321720,MPI_Init()
10.2,9,181,1,28001,181424,MAKEA
8.9,73,158,14000,639621,11,SPRNVC
3.4,60,60,13984,0,4,MPI_Send()
3.2,56,56,426415,0,0,RANDLC
2.9,51,51,13984,0,4,MPI_Wait()
1.6,27,27,213207,0,0,ICNVRT
0.6,11,11,1,0,11322,SPARSE
0.3,6,6,13984,0,0,MPI_Irecv()
0.1,2,2,14000,0,0,VECSET
0.0,0.575,0.575,1,0,575,ALLOC_SPACE
0.0,0.445,0.445,1,0,445,MPI_Bcast()
0.0,0.132,0.132,1,0,132,MPI_Barrier()
0.0,0.0675,0.0675,1,0,68,MPI_Reduce()
0.0,0.0456,0.0456,0.125,0,365,CHECK_TIMER_FLAG
0.0,0.0222,0.0229,1,2,23,GET_ACTIVE_NPROCS
0.0,0.0149,0.0149,0.125,0,119,PRINT_RESULTS
0.0,0.00337,0.00337,1,0,3,TIMER_START
0.0,0.001,0.001,9,0,0,TIMER_CLEAR
0.0,0.001,0.001,1,0,1,TIMER_STOP
0.0,0.000375,0.000375,1,0,0,MPI_Comm_size()
0.0,0.000375,0.000375,1,0,0,SETUP_SUBMATRIX_INFO
0.0,0.00025,0.00025,1,0,0,MPI_Comm_rank()
0.0,0.00025,0.00025,1,0,0,TIMER_READ
0.0,0.000125,0.000125,1,0,0,SETUP_PROC_INFO
