Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00322,11,851,1,1,11851814
int_main(int_char_**),100.0,4,326,11,851,1,1420.04,11851810
MPI_Finalize(),37.2,4,404,4,404,1,0,4404668
void_CalcKinematicsForElems(Domain,12.5,870,1,486,128,4.1943E+06,11613
MPI_Allreduce(),6.0,707,707,127,0,5572
Real_t_CalcElemVolume(const,5.2,620,620,4.22707E+06,0,0
MPI_Init(),4.7,561,561,1,0,561650
void_CommSend(Domain,1.9,35,226,385,3540.81,589
MPI_Waitall(),1.5,181,181,385,0,472
MPI_Wait(),0.6,76,76,2770.81,0,28
void_CommSyncPosVel(Domain,0.4,21,53,128,877.037,414
void_CommSBN(Domain,0.4,6,51,129,1638.78,401
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.2,11,18,1,32774,18201
MPI_Isend(),0.1,9,9,2770.81,0,3
void_CommMonoQ(Domain,0.1,8,8,128,640,65
void_CommRecv(Domain,0.0,0.948,3,385,3155.81,9
MPI_Reduce(),0.0,2,2,1,0,2914
MPI_Irecv(),0.0,2,2,2770.81,0,1
MPI_Barrier(),0.0,1,1,1,0,1299
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,0.664,0.664,1,0,664
MPI_Comm_rank(),0.0,0.554,0.554,1157,0,0
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,0.389,0.39,1,1,390
void_Domain::SetupCommBuffers(Int_t),0.0,0.284,0.284,1,0,284
void_Domain::SetupElementConnectivities(Int_t),0.0,0.268,0.268,1,0,268
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.0428,0.0428,1,0,43
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0117,0.0117,1,0,12
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00163,0.00374,1,2,4
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.00311,0.00311,0.037037,0,84
void_Domain::~Domain(),0.0,0.00267,0.00267,1,0,3
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00256,0.00256,1,0,3
StrToInt,0.0,0.00211,0.00211,2,0,1
MPI_Comm_size(),0.0,0.000407,0.000407,1,0,0
