Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00364,31,815,1,1,31815664
int_main(int_char_**),100.0,18,651,31,815,1,716.016,31815660
void_CalcKinematicsForElems(Domain,18.9,3,529,5,999,64,1.67772E+07,93745
MPI_Allreduce(),8.5,2,713,2,713,63,0,43072
Real_t_CalcElemVolume(const,7.9,2,510,2,510,1.70394E+07,0,0
void_CommSend(Domain,6.8,93,2,151,193,2092.62,11149
MPI_Waitall(),6.3,2,013,2,013,193,0,10432
MPI_Wait(),3.1,979,979,1706.62,0,574
void_CommSBN(Domain,1.8,30,566,65,1015.62,8721
MPI_Finalize(),1.7,553,553,1,0,553435
void_CommSyncPosVel(Domain,1.7,125,544,64,532,8514
MPI_Init(),1.3,426,426,1,0,426091
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.4,86,138,1,262150,138459
void_CommMonoQ(Domain,0.1,21,45,64,352,714
MPI_Isend(),0.1,44,44,1706.62,0,26
MPI_Barrier(),0.0,15,15,1,0,15058
MPI_Reduce(),0.0,4,4,1,0,4748
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,4,4,1,0,4650
void_CommRecv(Domain,0.0,0.725,3,193,1899.62,17
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,3,3,1,1,3122
MPI_Irecv(),0.0,2,2,1706.62,0,1
void_Domain::SetupElementConnectivities(Int_t),0.0,2,2,1,0,2167
void_Domain::SetupCommBuffers(Int_t),0.0,1,1,1,0,1153
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.883,0.883,1,0,883
MPI_Comm_rank(),0.0,0.445,0.445,581,0,1
void_Domain::~Domain(),0.0,0.3,0.3,1,0,300
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0106,0.0106,1,0,11
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00944,0.00944,1,0,9
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00258,0.00447,1,2,4
StrToInt,0.0,0.00189,0.00189,2,0,1
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.00161,0.00161,0.015625,0,103
MPI_Comm_size(),0.0,0.000391,0.000391,1,0,0
