Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00375,6,984,1,1,6984708
int_main(int_char_**),100.0,492,6,984,1,188.125,6984705
MPI_Finalize(),83.3,5,816,5,816,1,0,5816083
MPI_Init(),5.6,392,392,1,0,392437
void_CalcKinematicsForElems(Domain,2.7,109,185,16,524288,11616
Real_t_CalcElemVolume(const,1.2,81,81,557056,0,0
MPI_Allreduce(),1.0,70,70,15,0,4700
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.2,9,15,1,32774,15601
void_CommSend(Domain,0.1,2,7,49,321,163
MPI_Waitall(),0.1,4,4,49,0,95
void_CommSyncPosVel(Domain,0.0,1,2,16,72,132
void_CommMonoQ(Domain,0.0,0.851,0.867,16,64,54
MPI_Wait(),0.0,0.817,0.817,223,0,4
MPI_Isend(),0.0,0.726,0.726,223,0,3
void_CommSBN(Domain,0.0,0.522,0.666,17,136,39
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,0.494,0.494,1,0,494
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,0.367,0.367,1,1,367
void_CommRecv(Domain,0.0,0.0892,0.339,49,272,7
void_Domain::SetupElementConnectivities(Int_t),0.0,0.275,0.275,1,0,275
MPI_Irecv(),0.0,0.232,0.232,223,0,1
void_Domain::SetupCommBuffers(Int_t),0.0,0.194,0.194,1,0,194
MPI_Comm_rank(),0.0,0.0544,0.0544,149,0,0
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.0361,0.0361,1,0,36
MPI_Barrier(),0.0,0.0264,0.0264,1,0,26
MPI_Reduce(),0.0,0.0194,0.0194,1,0,19
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.0103,0.0103,0.125,0,82
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.01,0.01,1,0,10
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00162,0.00387,1,2,4
void_Domain::~Domain(),0.0,0.0025,0.0025,1,0,2
StrToInt,0.0,0.00225,0.00225,2,0,1
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00225,0.00225,1,0,2
MPI_Comm_size(),0.0,0,0,1,0,0
