%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive,Name
100.0,0.00571,1,477,1,1,1477735,.TAU_application
100.0,0.373,1,477,1,1009,1477729,CG
35.8,0.0383,528,1,3.00391,528419,INITIALIZE_MPI
35.7,527,527,1,0,527534,MPI_Init()
26.9,397,397,1,0,397153,MPI_Finalize()
21.4,62,316,76,77064,4158,CONJ_GRAD
15.9,5,234,1,28001,234719,MAKEA
15.3,105,226,14000,884640,16,SPRNVC
14.2,209,209,25992,0,8,MPI_Wait()
5.4,80,80,589761,0,0,RANDLC
2.7,40,40,294880,0,0,ICNVRT
2.5,36,36,25992,0,1,MPI_Send()
0.5,7,7,25992,0,0,MPI_Irecv()
0.1,2,2,14000,0,0,VECSET
0.1,0.816,0.816,1,0,816,MPI_Bcast()
0.0,0.491,0.491,1,0,491,SPARSE
0.0,0.304,0.304,1,0,304,MPI_Barrier()
0.0,0.107,0.107,1,0,107,MPI_Reduce()
0.0,0.0541,0.0541,1,0,54,ALLOC_SPACE
0.0,0.0281,0.0286,1,2,29,GET_ACTIVE_NPROCS
0.0,0.0257,0.0257,1,0,26,TIMER_START
0.0,0.00171,0.00171,0.00390625,0,437,CHECK_TIMER_FLAG
0.0,0.00164,0.00164,9,0,0,TIMER_CLEAR
0.0,0.000855,0.000855,1,0,1,TIMER_STOP
0.0,0.000469,0.000469,0.00390625,0,120,PRINT_RESULTS
0.0,0.000391,0.000391,1,0,0,SETUP_SUBMATRIX_INFO
0.0,0.000332,0.000332,1,0,0,MPI_Comm_size()
0.0,0.000281,0.000281,1,0,0,SETUP_PROC_INFO
0.0,0.000199,0.000199,1,0,0,MPI_Comm_rank()
0.0,0.000172,0.000172,1,0,0,TIMER_READ
