Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00353,9:38.455,1,1,578455613
int_main(int_char_**),100.0,6:37.678,9:38.455,1,1420,578455609
void_CalcKinematicsForElems(Domain,16.6,56,682,1:36.284,128,2.68435E+08,752224
MPI_Allreduce(),10.1,58,367,58,367,127,0,459585
Real_t_CalcElemVolume(const,6.9,39,909,39,909,2.70533E+08,0,0
void_CommSend(Domain,2.9,1,019,16,579,385,5262.8,43063
MPI_Waitall(),2.7,15,412,15,412,385,0,40032
MPI_Wait(),0.9,5,318,5,318,4492.8,0,1184
void_CommSyncPosVel(Domain,0.6,1,397,3,405,128,1395,26609
void_CommSBN(Domain,0.6,330,3,236,129,2682.8,25086
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.2,530,936,1,2.09716E+06,936788
MPI_Finalize(),0.1,661,661,1,0,661015
void_CommMonoQ(Domain,0.1,170,575,128,800,4497
MPI_Init(),0.1,566,566,1,0,566918
MPI_Isend(),0.0,146,146,4492.8,0,33
MPI_Barrier(),0.0,79,79,1,0,79709
MPI_Reduce(),0.0,70,70,1,0,70394
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,46,46,1,0,46384
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,22,22,1,1,22298
void_Domain::SetupElementConnectivities(Int_t),0.0,18,18,1,0,18732
void_CommRecv(Domain,0.0,2,11,385,4877.8,31
MPI_Irecv(),0.0,9,9,4492.8,0,2
void_Domain::SetupBoundaryConditions(Int_t),0.0,7,7,1,0,7145
void_Domain::SetupCommBuffers(Int_t),0.0,4,4,1,0,4706
void_Domain::~Domain(),0.0,1,1,1,0,1231
MPI_Comm_rank(),0.0,1,1,1157,0,1
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.03,0.03,1,0,30
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0117,0.0117,1,0,12
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00154,0.00357,1,2,4
StrToInt,0.0,0.00204,0.00204,2,0,1
MPI_Comm_size(),0.0,0.000432,0.000432,1,0,0
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.00023,0.00023,0.00195312,0,118
