"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00825","38,426","1","1",".TAU_application"
"100.0","9","38,426","1","325.25","CG"
"74.8","27,699","28,727","76","23712","CONJ_GRAD"
"20.9","8,022","8,022","1","0","MPI_Finalize()"
"3.5","86","1,328","1","200001","MAKEA"
"2.7","502","1,047","100000","4.32869E+06","SPRNVC"
"2.0","769","769","7980","0","MPI_Send()"
"0.9","362","362","2.88579E+06","0","RANDLC"
"0.9","0.036","335","1","3.25","INITIALIZE_MPI"
"0.9","334","334","1","0","MPI_Init()"
"0.7","250","250","7980","0","MPI_Wait()"
"0.5","182","182","1.4429E+06","0","ICNVRT"
"0.5","180","180","1","0","SPARSE"
"0.0","14","14","100000","0","VECSET"
"0.0","8","8","7980","0","MPI_Irecv()"
"0.0","2","2","1","0","ALLOC_SPACE"
"0.0","0.453","0.453","1","0","MPI_Bcast()"
"0.0","0.114","0.114","0.25","0","CHECK_TIMER_FLAG"
"0.0","0.0343","0.0343","1","0","MPI_Barrier()"
"0.0","0.033","0.033","0.25","0","PRINT_RESULTS"
"0.0","0.0305","0.031","1","2","GET_ACTIVE_NPROCS"
"0.0","0.025","0.025","1","0","MPI_Reduce()"
"0.0","0.0085","0.0085","1","0","TIMER_START"
"0.0","0.00175","0.00175","9","0","TIMER_CLEAR"
"0.0","0.001","0.001","1","0","TIMER_STOP"
"0.0","0.0005","0.0005","1","0","SETUP_SUBMATRIX_INFO"
"0.0","0.00025","0.00025","1","0","MPI_Comm_rank()"
"0.0","0.00025","0.00025","1","0","MPI_Comm_size()"
"0.0","0.00025","0.00025","1","0","SETUP_PROC_INFO"
"0.0","0","0","1","0","TIMER_READ"
