"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.007","3,542","1","1",".TAU_application"
"100.0","1","3,542","1","238.062","CG"
"38.9","1,019","1,377","31","16926","CONJ_GRAD"
"35.8","43","1,268","1","150001","MAKEA"
"33.5","552","1,188","75000","5.11802E+06","SPRNVC"
"16.2","572","572","1","0","MPI_Finalize()"
"12.0","424","424","3.41202E+06","0","RANDLC"
"9.0","0.0313","318","1","3.0625","INITIALIZE_MPI"
"9.0","317","317","1","0","MPI_Init()"
"6.0","211","211","1.70601E+06","0","ICNVRT"
"5.7","201","201","5704","0","MPI_Send()"
"4.2","150","150","5704","0","MPI_Wait()"
"0.8","27","27","1","0","SPARSE"
"0.3","10","10","75000","0","VECSET"
"0.2","6","6","5704","0","MPI_Irecv()"
"0.1","1","1","1","0","ALLOC_SPACE"
"0.0","0.644","0.644","1","0","MPI_Bcast()"
"0.0","0.162","0.162","1","0","MPI_Barrier()"
"0.0","0.057","0.057","1","0","MPI_Reduce()"
"0.0","0.0266","0.0266","0.0625","0","CHECK_TIMER_FLAG"
"0.0","0.0226","0.0229","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0119","0.0119","0.0625","0","PRINT_RESULTS"
"0.0","0.00369","0.00369","1","0","TIMER_START"
"0.0","0.00131","0.00131","9","0","TIMER_CLEAR"
"0.0","0.000937","0.000937","1","0","TIMER_STOP"
"0.0","0.00025","0.00025","1","0","MPI_Comm_size()"
"0.0","0.00025","0.00025","1","0","SETUP_SUBMATRIX_INFO"
"0.0","0.000188","0.000188","1","0","SETUP_PROC_INFO"
"0.0","0.000125","0.000125","1","0","MPI_Comm_rank()"
"0.0","0.000125","0.000125","1","0","TIMER_READ"
