Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00391,1,335,1,1,1335521
int_main(int_char_**),100.0,58,1,335,1,188.016,1335517
MPI_Init(),45.2,603,603,1,0,603412
MPI_Finalize(),42.3,564,564,1,0,564510
MPI_Allreduce(),3.1,41,41,15,0,2776
void_CommSend(Domain,1.9,0.841,25,49,535.625,520
void_CalcKinematicsForElems(Domain,1.9,14,25,16,65536,1579
MPI_Waitall(),1.7,22,22,49,0,451
MPI_Wait(),0.9,12,12,437.625,0,28
Real_t_CalcElemVolume(const,0.8,11,11,69632,0,0
void_CommMonoQ(Domain,0.4,0.207,5,16,88,340
void_CommSyncPosVel(Domain,0.4,0.457,5,16,133,321
void_CommSBN(Domain,0.2,0.266,2,17,265.625,166
MPI_Isend(),0.2,2,2,437.625,0,6
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.2,1,2,1,4102,2365
MPI_Barrier(),0.0,0.512,0.512,1,0,512
MPI_Reduce(),0.0,0.369,0.369,1,0,369
void_CommRecv(Domain,0.0,0.0954,0.324,49,486.625,7
MPI_Irecv(),0.0,0.218,0.218,437.625,0,0
void_Domain::SetupCommBuffers(Int_t),0.0,0.0999,0.0999,1,0,100
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,0.0565,0.0569,1,1,57
MPI_Comm_rank(),0.0,0.0347,0.0347,149,0,0
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,0.034,0.034,1,0,34
void_Domain::SetupElementConnectivities(Int_t),0.0,0.0256,0.0256,1,0,26
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0123,0.0123,1,0,12
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.00691,0.00691,1,0,7
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00291,0.0047,1,2,5
StrToInt,0.0,0.0018,0.0018,2,0,1
void_Domain::~Domain(),0.0,0.00178,0.00178,1,0,2
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.0012,0.0012,0.015625,0,77
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00102,0.00102,1,0,1
MPI_Comm_size(),0.0,0.000469,0.000469,1,0,0
