"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00675","1:01.002","1","1",".TAU_application"
"100.0","11","1:01.002","1","425.25","CG"
"84.6","49,983","51,581","101","31512","CONJ_GRAD"
"12.3","7,524","7,524","1","0","MPI_Finalize()"
"2.5","88","1,524","1","200001","MAKEA"
"2.0","1,246","1,246","10605","0","MPI_Send()"
"2.0","563","1,198","100000","5.11467E+06","SPRNVC"
"0.7","423","423","3.40978E+06","0","RANDLC"
"0.6","0.0335","355","1","3.25","INITIALIZE_MPI"
"0.6","354","354","1","0","MPI_Init()"
"0.6","341","341","10605","0","MPI_Wait()"
"0.4","223","223","1","0","SPARSE"
"0.3","211","211","1.70489E+06","0","ICNVRT"
"0.0","13","13","100000","0","VECSET"
"0.0","11","11","10605","0","MPI_Irecv()"
"0.0","3","3","1","0","ALLOC_SPACE"
"0.0","0.448","0.448","1","0","MPI_Bcast()"
"0.0","0.12","0.12","0.25","0","CHECK_TIMER_FLAG"
"0.0","0.0325","0.0325","1","0","MPI_Reduce()"
"0.0","0.0295","0.0295","0.25","0","PRINT_RESULTS"
"0.0","0.027","0.0272","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0222","0.0222","1","0","MPI_Barrier()"
"0.0","0.0105","0.0105","1","0","TIMER_START"
"0.0","0.0015","0.0015","9","0","TIMER_CLEAR"
"0.0","0.001","0.001","1","0","TIMER_STOP"
"0.0","0.00025","0.00025","1","0","MPI_Comm_size()"
"0.0","0.00025","0.00025","1","0","SETUP_SUBMATRIX_INFO"
"0.0","0","0","1","0","MPI_Comm_rank()"
"0.0","0","0","1","0","SETUP_PROC_INFO"
"0.0","0","0","1","0","TIMER_READ"
